,Tyr,Glu,Thr
40de6cd93f5e6916efe9981f1b654661,-0.052223297,0.266666667,-0.254273814
65e6d91d10567313fb8860bc27e88e13,0.130558242,-0.383333333,0.728918266
5a7745ddf557536af2f276004a34601d,0.460208044,-0.287142787,0.080565949
6b17a229d3ce3da099728e2c92e527e5,-0.478713554,-0.416666667,0.169515876
76ff22e7f1d7495bd3cdf625d8418f00,0.113150476,0.316666667,-0.406838102
87268e3039de9b0005b1e42e51ea4fc7,0.391674726,0.483333333,-0.305128577
9966ba5c81f9198836790fc38be7c474,0.454499616,-0.150628934,0
b3dcb6f20608c533f82cdddd5caaafcf,-0.357548471,0.410791918,-0.417814511
69fd10384abd0a3d2519c598038da377,0.581612179,-0.51120772,0.427099278
b81162fddd279b8aa60859ca04342bf5,0.705562316,-0.474692883,0.63136415
ba5fdba0f0fba25e1e6c46b7bf7c0dd2,0.279692071,0.150628934,-0.340453275
e8d69a5d243733b6c8c04fab167e7fc6,0.286038777,-0.273861279,0.278543007
5314e24f365ee5e7639905cea1b5bdf3,0.212005953,-0.079211803,-0.261839336
6cd053658eeb5fd171ea12fe8bd45bbc,0.100514338,-0.083682741,-0.068090655
438501a801587579f377932febc17de8,0.026558034,0.305128577,-0.086206897
9d1762fa1ddeffdf07efa96afb54ed66,0.460208044,-0.287142787,0.080565949
443238200854c7f9abd0a5e65d932377,0.629285309,-0.182574186,-0.092847669
e94b0c9df910590911a1bdba98b628d0,0.244730562,0.066946193,-0.221294629
998c4426055a482c7608c9df437d2483,0.50460264,-0.06780635,-0.155172414
7b1823fca58438c7eabb932ca39a6c72,0.287228132,0.1,0.101709526
02a2c8eaa898567e4ef27b9df3165e19,0.161696979,0.426781978,-0.348964607
160401d3dcb84e462f8607296d28f2ce,0.238365647,-0.114108866,-0.162483421
0d67491c914a41f276ff02aaf59a80d4,0.460208044,-0.287142787,0.080565949
e67d730135c0aa4bb75e5d0f474af994,0.287228132,0.016666667,-0.016951588
11e2c03685ed8c3d96e9e206cb7ce70f,-0.372727273,0.078334945,-0.230169625
48cf8e6cd17a562b4d272e29909c9f35,0.074293206,-0.050209645,0.017022664
89cb3d6530d51908d657661220b3d047,-0.143019388,0.365148372,-0.445668812
cc633e04549da4f54fd3843ccec05a5d,0.543473676,0.219089023,0
b7ed9cb8cb8c5da257e73ba77f4852f1,0.139613676,0.039605902,-0.463254209
114c9ac0078c3139cd45df07e55b697a,-0.044263389,0.033903175,-0.482758621
0e3799c4ebb587a8c0b73303a4c07271,0.460208044,-0.287142787,0.080565949
d6561f875545a0aa86f5bda525b2a053,0.286038777,-0.273861279,0.278543007
11e74a0bd1bc32532f407aa088e0e8e1,0.418181818,-0.252412601,0.185906236
f6d8785438fe507f5c7eb361a585969a,0.228831021,-0.091287093,-0.185695338
ff62398607a49c9443ee8be55c41df35,-0.357548471,0,-0.417814511
3ea8ed43f9933f3d029dc8ba34271be3,0.460339251,-0.711966679,0.655172414
7ddfb7c47b68649cc601bed989ed0c9e,0.191322445,0.079211803,-0.080565949
131bdc6b3a2ee93e9cb7f47de1755464,0.460208044,-0.287142787,0.080565949
e615731a24bb19442704d54d52e5c7b0,0.143019388,-0.410791918,0.557086015
c0329dc7d7af49a679f75c65af80fa09,0.36713226,0.019802951,-0.020141487
1f6fb6cd2312f136441a3fc3432f42c0,-0.357548471,0.410791918,-0.417814511
04c0fcc59642f146fb16095fa00eca26,0.286038777,-0.273861279,0.278543007
82bcfd112523d09d82adbc10ccaba59a,0.143019388,-0.410791918,0.557086015
734da4969fadd96993bd883e43be7086,0.0672214,-0.158423607,0.231627105
c26fdf05c0dda78e9fffcf2fe9497d0d,0.286038777,0.296683052,-0.278543007
f19046efc9523c5ae2977bd111abdb37,-0.186151568,0.782216559,-0.674739827
cc06a11a7125b7504eef3065193fde30,-0.357548471,0.410791918,-0.417814511
2ea6fa1d951938d072c32d43e33e5b58,-0.2026108,-0.273861279,0.023211917
c1c6138fe9989f1e4e67cdfde40eae5a,0.143019388,-0.410791918,0.557086015
377f5b0a9d9a53f382d532fe28888a6d,0.286038777,-0.273861279,0.278543007
73f6b27cddaf46d86ffa1819a7bf32a2,-0.2026108,0.06846532,0.023211917
