,Tau,PC.O.32.2,X4.8.12.15.18.eicosapentaenoic.acid,X28.6.10Z.13Z.16Z.19Z.22Z.25Z.,GABA,LPC.O.18.0,Glu,X6Z.9Z.12Z.15Z.18Z.tetracosapentaenoic.acid,LPE.O.18.1,DGCC.16.0_22.6,Arachidonic.acid,ST.29.2.O5.3,SL.10.0.O.16.0.O
e2129b00629b2a5d81320b0500024ce1,0.771428571,0.428571429,0.428571429,-0.028571429,-0.6,-0.257142857,-0.314285714,0.714285714,0.657142857,0.6,0.6,-0.257142857,0.485714286
5860884ee5c42eec4b978170700ccd62,-0.371428571,-1,-0.714285714,-0.2,0.542857143,-0.714285714,-0.542857143,-0.6,-0.485714286,-0.828571429,-0.314285714,-0.142857143,-0.371428571
abac693ac832de52a3f310fcb3efde67,-0.927633657,-0.202919862,-0.144942759,0.086965655,0.81167945,0.347862621,0.666736691,-0.144942759,-0.376851173,-0.115954207,0,0.057977104,-0.608759587
76ff22e7f1d7495bd3cdf625d8418f00,-0.758970926,-0.394664881,-0.030358837,0.394664881,0.698253252,0.212511859,0.394664881,-0.212511859,-0.51610023,-0.151794185,-0.030358837,0.333947207,-0.698253252
87268e3039de9b0005b1e42e51ea4fc7,-0.371428571,-0.028571429,-0.542857143,-0.771428571,0.314285714,-0.142857143,0.314285714,-0.085714286,-0.085714286,-0.314285714,-0.028571429,-0.714285714,-0.085714286
15258326978d3562a1f9aa731ca8a159,-0.758970926,-0.637535578,-0.394664881,-0.030358837,0.880406274,-0.212511859,0.030358837,-0.212511859,-0.151794185,-0.333947207,0.030358837,-0.091076511,-0.394664881
9966ba5c81f9198836790fc38be7c474,-1,-0.371428571,-0.485714286,-0.257142857,0.942857143,0.142857143,0.485714286,-0.314285714,-0.257142857,-0.371428571,-0.142857143,-0.2,-0.428571429
1aee159d79ecf136dc884194c8507503,-0.985610761,-0.260896966,-0.376851173,-0.202919862,0.927633657,0.231908414,0.550782484,-0.202919862,-0.144942759,-0.231908414,-0.057977104,-0.173931311,-0.376851173
85d8fa5c69723403291088a64b102732,-0.257142857,-0.2,-0.771428571,-1,0.371428571,-0.428571429,-0.142857143,-0.142857143,0.371428571,-0.428571429,-0.085714286,-0.885714286,0.371428571
a89152e5ccb9e56d6d1fe8bff8def851,0.257142857,-0.257142857,-0.428571429,-0.657142857,-0.085714286,-0.771428571,-0.371428571,0.142857143,0.028571429,-0.257142857,0.257142857,-0.771428571,0.028571429
9dc59a5cb22389a68d821f1471d5df73,0.657142857,-0.428571429,-0.2,-0.085714286,-0.428571429,-0.771428571,-0.942857143,-0.142857143,0.028571429,-0.314285714,-0.085714286,-0.085714286,0.257142857
69c02a17ec051dacffd71a681c5ebf96,-0.942857143,-0.542857143,-0.6,-0.2,0.885714286,0.085714286,0.257142857,-0.6,-0.371428571,-0.6,-0.428571429,-0.028571429,-0.371428571
