,Tau,PC.O.32.2,X4.8.12.15.18.eicosapentaenoic.acid,X28.6.10Z.13Z.16Z.19Z.22Z.25Z.,GABA,LPC.O.18.0,Glu,X6Z.9Z.12Z.15Z.18Z.tetracosapentaenoic.acid,LPE.O.18.1,DGCC.16.0_22.6,Arachidonic.acid,ST.29.2.O5.3,SL.10.0.O.16.0.O
e2129b00629b2a5d81320b0500024ce1,-0.216666667,-0.716666667,-0.333333333,-0.233333333,-0.116666667,-0.016666667,-0.133333333,0.683333333,-0.033333333,-0.583333333,0.183333333,-0.216666667,0.15
5860884ee5c42eec4b978170700ccd62,0.066666667,-0.033333333,0.283333333,-0.083333333,-0.033333333,0.066666667,0.333333333,0.183333333,0.166666667,0.616666667,0.416666667,-0.083333333,0.466666667
abac693ac832de52a3f310fcb3efde67,-0.118661113,-0.576353978,0.06780635,-0.288176989,0.288176989,0.101709526,0.237322226,0.440741277,0.152564288,-0.084757938,0.220370639,-0.271225401,0.152564288
b9ecf0c4d368175b3e5ecc6b21ef2835,0.117155837,0.426781978,0.669461927,0.158997208,0.200838578,0.309626141,0.284521319,-0.158997208,0.376572334,0.73640812,0.401677156,0.175733756,0.200838578
2c771622b52d03e59d5a6ed08b5473c7,-0.287142787,-0.069310328,-0.10891623,0.069310328,-0.079211803,0.10891623,-0.485172296,0.297044263,0.059408853,-0.376256066,0.138620656,0.138620656,-0.079211803
76ff22e7f1d7495bd3cdf625d8418f00,0.569042638,-0.200838578,-0.393308882,-0.200838578,-0.468623349,-0.2259434,0.493728171,-0.259416497,-0.36820406,-0.075314467,-0.334730964,-0.351467512,-0.016736548
113312d2592bc1747c8f413b4c00ad4e,0.4,-0.05,-0.35,-0.233333333,0.3,-0.583333333,0.033333333,-0.583333333,-0.716666667,-0.333333333,-0.633333333,-0.35,-0.666666667
87268e3039de9b0005b1e42e51ea4fc7,0.372934927,0.830627792,0.237322226,0.49159604,-0.355983339,0,0.288176989,-0.695015091,0.050854763,0.305128577,-0.220370639,0.372934927,-0.033903175
15258326978d3562a1f9aa731ca8a159,0.419920627,-0.51120772,-0.529465139,-0.310376116,-0.529465139,-0.12780193,0.365148372,0.036514837,-0.310376116,-0.456435465,-0.237346442,-0.456435465,-0.091287093
9966ba5c81f9198836790fc38be7c474,0.016666667,0,0.566666667,0.05,0.416666667,-0.016666667,0.416666667,0.2,0.216666667,0.583333333,0.45,0.05,0.466666667
1aee159d79ecf136dc884194c8507503,-0.1,0.2,0.15,-0.183333333,0.366666667,-0.15,0.016666667,-0.3,-0.066666667,0.6,-0.033333333,-0.15,-0.083333333
69fd10384abd0a3d2519c598038da377,-0.266666667,-0.15,0.5,-0.116666667,0.433333333,0.466666667,0.066666667,0.4,0.516666667,0.583333333,0.5,0.05,0.383333333
8790a37d08e93923e6b290be8664c800,0.233333333,0.666666667,0.333333333,0.25,-0.05,0.266666667,0.233333333,-0.6,0.233333333,0.633333333,-0.166666667,0.266666667,0
5d8f0565e843a5edcff5a59fb39d3c41,-0.116666667,0.216666667,0.033333333,-0.233333333,-0.116666667,0.083333333,-0.066666667,-0.183333333,0.066666667,0.716666667,0.15,-0.183333333,0.05
651474385f6960f6114f05a65b3ef48f,0.65,0.05,-0.3,0.116666667,-0.016666667,-0.7,0.316666667,-0.516666667,-0.733333333,-0.516666667,-0.6,-0.1,-0.35
75d77bf07431f34c20195ae42ca2cae2,-0.217575126,-0.577410912,0.301257867,-0.209206852,0.401677156,0.259416497,0.18410203,0.652725379,0.343099238,-0.025104822,0.493728171,-0.150628934,0.284521319
b81162fddd279b8aa60859ca04342bf5,0.026111648,-0.339451429,0.409082491,0.182781539,0.21759707,0.235004836,0.426490257,0.548344616,0.382970843,-0.130558242,0.382970843,0.182781539,0.496121319
dad1940f0ee64b92020effb49374c42c,0.118661113,-0.220370639,0.237322226,0.237322226,0.152564288,0.169515876,0.322080164,0.372934927,0.237322226,-0.06780635,0.101709526,0.288176989,0.508547628
