,Tyr,Glu,Thr
40de6cd93f5e6916efe9981f1b654661,0.686030866,0.957154519,0.468478134
65e6d91d10567313fb8860bc27e88e13,0.954475735,0.208,0.208
5a7745ddf557536af2f276004a34601d,0.951629687,0.294583741,0.230732252
be23095b79473f0d13d618b1609a51bc,0.68159033,0.577351787,0.424662508
6b17a229d3ce3da099728e2c92e527e5,0.60035459,0.328723032,0.110787172
76ff22e7f1d7495bd3cdf625d8418f00,0.490080897,0.080141228,0.020598735
9966ba5c81f9198836790fc38be7c474,0.60035459,0.468478134,0.544093294
019eee2e0d8bf39059c307f10579fc75,0.294583741,0.87174344,0.396501458
1d110b16a03bccac1abb78f1ed239d95,0.511214636,0.083523281,0.049857585
3822fee663723cbf005cb082d0847a55,0.330838173,0.122839463,0.080141228
69c02a17ec051dacffd71a681c5ebf96,0.438739252,0.208,0.072396501
76e10bb5703b7efdab789eb89a9e6ac9,0.686030866,0.208,0.396501458
9781d2b87a25af01c8e3ecf7b8836c71,0.364143252,0.787172012,0.704
b81162fddd279b8aa60859ca04342bf5,0.774057503,0.328723032,0.468478134
e8d69a5d243733b6c8c04fab167e7fc6,0.855291867,0.045837141,0.173260315
5314e24f365ee5e7639905cea1b5bdf3,0.122839463,0.957154519,0.957154519
b15dbb80925b44f9a159c498f6739500,0.83898095,0.74886845,0.898736032
0fb9e2df91752ce3bb921f04f8b04b78,0.431462445,0.956529352,0.826848213
c3584e8b2577ece80a25caf32e0645c1,0.490080897,0.020598735,0.005097541
b4e458454dbfbd0edcb0544f3b2777dc,0.951629687,0.294583741,0.230732252
443238200854c7f9abd0a5e65d932377,0.770811084,0.257369332,0.424662508
1930787479bb9ad89d941e288bdb7d23,0.576751368,0.294583741,0.438739252
2a4384219a51593fed414036dd38e90e,0.438739252,0.110787172,0.041562682
998c4426055a482c7608c9df437d2483,0.861785275,0.424662508,0.257369332
7b1823fca58438c7eabb932ca39a6c72,0.951629687,0.774057503,0.438739252
02a2c8eaa898567e4ef27b9df3165e19,0.855291867,0.230732252,0.294583741
0d67491c914a41f276ff02aaf59a80d4,0.356269193,0.869880379,0.869880379
788d7378508cf4580abbc55103abd5b0,0.60035459,0.041562682,0.110787172
844b61bd540094f90c50cdb6c1a4144c,0.124879826,0.804726162,0.441112809
8e071a54bfe9e9bb8af310460d4c639a,0.410303636,0.158302423,0.158302423
a7eada7bee057b060749515c0e16f945,0.015067699,0.267777672,0.068726941
24b622deb1bcd2d42baacaf5d067b5d3,0.490080897,0.020598735,0.005097541
5f5b685ea46a2d5e857e5a75ecb62c88,0.60035459,0.468478134,0.544093294
89cb3d6530d51908d657661220b3d047,0.407841294,0.005097541,0.020598735
e8549d75e2b93180fbfaaadd77da92b0,0.954475735,0.468478134,0.328723032
0c3238a0f8757bf9a754fbf9f69c49fd,0.594824389,0.17307111,0.083523281
fbbdf3c8ad6337d4c6154d814a67689e,0.407841294,0.005097541,0.020598735
5ce0186f421e97323b47bbb8d8cba6bc,0.83898095,0.74886845,0.512225259
8aba09360f2f5919ee4858b01faf3858,0.792663836,0.441112809,0.158302423
955bf1f38625218990c4f8dcd194d5ed,0.78595683,0.068726941,0.034109423
806cedabc0a54f26cf0a0a5211062f52,0.760162465,0.080141228,0.122839463
30dd7cee4ba25dba63d1b4c97acc4314,0.438739252,0.110787172,0.041562682
3698a878b32c870099793288e3bca7f5,0.83898095,0.304558785,0.304558785
198e6eb5b22f9c769b5d55993f401c0b,0.410303636,0.158302423,0.158302423
bf43946c9effdc342a07351bb8550150,0.410303636,0.804726162,0.804726162
2034d4f56f88ed9d3c91cd09ab3d2050,0.330838173,0.122839463,0.080141228
3aa2a008a95ad8cbac119e066dd501e2,0.431462445,0.227783957,0.17307111
a7276769b1878a2346f2c224077050ce,0.091302742,0.080141228,0.020598735
4974a65732b73da0e562a4bae11bd7d4,0.410303636,0.158302423,0.158302423
84b39a82f590ab530d2716ba26fc4461,0.410303636,0.158302423,0.441112809
daa62dbcabae42159050e19a79ed4549,0.165287256,0.512225259,0.604216677
