,Tyr,Glu,Thr
40de6cd93f5e6916efe9981f1b654661,0.893853069,0.487922275,0.509101515
65e6d91d10567313fb8860bc27e88e13,0.737778012,0.308495272,0.025883597
5a7745ddf557536af2f276004a34601d,0.212575137,0.453753298,0.836757581
6b17a229d3ce3da099728e2c92e527e5,0.192344301,0.264586047,0.662828041
76ff22e7f1d7495bd3cdf625d8418f00,0.771936932,0.406397014,0.277169878
87268e3039de9b0005b1e42e51ea4fc7,0.297181462,0.187469855,0.424626998
9966ba5c81f9198836790fc38be7c474,0.219042843,0.698884129,1
b3dcb6f20608c533f82cdddd5caaafcf,0.344811482,0.272070827,0.263136457
69fd10384abd0a3d2519c598038da377,0.100430052,0.159555948,0.251565838
b81162fddd279b8aa60859ca04342bf5,0.033704745,0.196643937,0.068205069
ba5fdba0f0fba25e1e6c46b7bf7c0dd2,0.466064757,0.698884129,0.369980611
e8d69a5d243733b6c8c04fab167e7fc6,0.455568609,0.475797239,0.46797598
5314e24f365ee5e7639905cea1b5bdf3,0.583956402,0.839472418,0.496128466
6cd053658eeb5fd171ea12fe8bd45bbc,0.796950026,0.830514635,0.861821673
438501a801587579f377932febc17de8,0.945928209,0.424626998,0.825464733
9d1762fa1ddeffdf07efa96afb54ed66,0.212575137,0.453753298,0.836757581
443238200854c7f9abd0a5e65d932377,0.069399299,0.638240151,0.812205836
e94b0c9df910590911a1bdba98b628d0,0.525656758,0.864126671,0.567176842
998c4426055a482c7608c9df437d2483,0.165938075,0.862394192,0.69015979
7b1823fca58438c7eabb932ca39a6c72,0.453613097,0.797971695,0.794576966
02a2c8eaa898567e4ef27b9df3165e19,0.677686631,0.25195669,0.357342577
160401d3dcb84e462f8607296d28f2ce,0.536813786,0.77004693,0.676187673
0d67491c914a41f276ff02aaf59a80d4,0.212575137,0.453753298,0.836757581
e67d730135c0aa4bb75e5d0f474af994,0.453613097,0.966054804,0.965474778
11e2c03685ed8c3d96e9e206cb7ce70f,0.32318955,0.841231156,0.551312977
48cf8e6cd17a562b4d272e29909c9f35,0.849345534,0.897928395,0.965330087
89cb3d6530d51908d657661220b3d047,0.713564001,0.333899141,0.229258159
cc633e04549da4f54fd3843ccec05a5d,0.130448423,0.571145077,1
b7ed9cb8cb8c5da257e73ba77f4852f1,0.720160827,0.919420915,0.209167524
114c9ac0078c3139cd45df07e55b697a,0.909974459,0.930999141,0.188072411
0e3799c4ebb587a8c0b73303a4c07271,0.212575137,0.453753298,0.836757581
d6561f875545a0aa86f5bda525b2a053,0.455568609,0.475797239,0.46797598
11e74a0bd1bc32532f407aa088e0e8e1,0.262673479,0.512313721,0.632013624
f6d8785438fe507f5c7eb361a585969a,0.553694939,0.815318071,0.632407136
ff62398607a49c9443ee8be55c41df35,0.344811482,1,0.263136457
3ea8ed43f9933f3d029dc8ba34271be3,0.212427735,0.031425256,0.055441236
7ddfb7c47b68649cc601bed989ed0c9e,0.621935172,0.839472418,0.836757581
131bdc6b3a2ee93e9cb7f47de1755464,0.212575137,0.453753298,0.836757581
e615731a24bb19442704d54d52e5c7b0,0.713564001,0.272070827,0.119193273
c0329dc7d7af49a679f75c65af80fa09,0.331079017,0.959670941,0.958981968
1f6fb6cd2312f136441a3fc3432f42c0,0.344811482,0.272070827,0.263136457
04c0fcc59642f146fb16095fa00eca26,0.455568609,0.475797239,0.46797598
82bcfd112523d09d82adbc10ccaba59a,0.713564001,0.272070827,0.119193273
734da4969fadd96993bd883e43be7086,0.863572311,0.683936145,0.548723887
c26fdf05c0dda78e9fffcf2fe9497d0d,0.455568609,0.438197804,0.46797598
f19046efc9523c5ae2977bd111abdb37,0.631555961,0.012732204,0.046174853
cc06a11a7125b7504eef3065193fde30,0.344811482,0.272070827,0.263136457
2ea6fa1d951938d072c32d43e33e5b58,0.60110517,0.475797239,0.952734297
c1c6138fe9989f1e4e67cdfde40eae5a,0.713564001,0.272070827,0.119193273
377f5b0a9d9a53f382d532fe28888a6d,0.455568609,0.475797239,0.46797598
73f6b27cddaf46d86ffa1819a7bf32a2,0.60110517,0.861067277,0.952734297
