,Tau,PC.O.32.2,X4.8.12.15.18.eicosapentaenoic.acid,X28.6.10Z.13Z.16Z.19Z.22Z.25Z.,GABA,LPC.O.18.0,Glu,X6Z.9Z.12Z.15Z.18Z.tetracosapentaenoic.acid,LPE.O.18.1,DGCC.16.0_22.6,Arachidonic.acid,ST.29.2.O5.3,SL.10.0.O.16.0.O
e2129b00629b2a5d81320b0500024ce1,0.072396501,0.396501458,0.396501458,0.957154519,0.208,0.622787172,0.544093294,0.110787172,0.156174927,0.208,0.208,0.622787172,0.328723032
5860884ee5c42eec4b978170700ccd62,0.468478134,0,0.110787172,0.704,0.265702624,0.110787172,0.265702624,0.208,0.328723032,0.041562682,0.544093294,0.787172012,0.468478134
abac693ac832de52a3f310fcb3efde67,0.007665844,0.699797968,0.78410837,0.869880379,0.049857585,0.499253218,0.148089799,0.78410837,0.46148284,0.826848213,1,0.913131785,0.199660189
76ff22e7f1d7495bd3cdf625d8418f00,0.080141228,0.438739252,0.954475735,0.438739252,0.122839463,0.686030866,0.438739252,0.686030866,0.294583741,0.774057503,0.954475735,0.517700208,0.122839463
87268e3039de9b0005b1e42e51ea4fc7,0.468478134,0.957154519,0.265702624,0.072396501,0.544093294,0.787172012,0.544093294,0.87174344,0.87174344,0.544093294,0.957154519,0.110787172,0.87174344
15258326978d3562a1f9aa731ca8a159,0.080141228,0.173260315,0.438739252,0.954475735,0.020598735,0.686030866,0.954475735,0.686030866,0.774057503,0.517700208,0.954475735,0.86376297,0.438739252
9966ba5c81f9198836790fc38be7c474,0,0.468478134,0.328723032,0.622787172,0.004804665,0.787172012,0.328723032,0.544093294,0.622787172,0.468478134,0.787172012,0.704,0.396501458
1aee159d79ecf136dc884194c8507503,0.000309086,0.617533817,0.46148284,0.699797968,0.007665844,0.658373571,0.257369332,0.699797968,0.78410837,0.658373571,0.913131785,0.741733928,0.46148284
85d8fa5c69723403291088a64b102732,0.622787172,0.704,0.072396501,0,0.468478134,0.396501458,0.787172012,0.787172012,0.468478134,0.396501458,0.87174344,0.018845481,0.468478134
a89152e5ccb9e56d6d1fe8bff8def851,0.622787172,0.622787172,0.396501458,0.156174927,0.87174344,0.072396501,0.468478134,0.787172012,0.957154519,0.622787172,0.622787172,0.072396501,0.957154519
