,Tau,PC.O.32.2,X4.8.12.15.18.eicosapentaenoic.acid,X28.6.10Z.13Z.16Z.19Z.22Z.25Z.,GABA,LPC.O.18.0,Glu,X6Z.9Z.12Z.15Z.18Z.tetracosapentaenoic.acid,LPE.O.18.1,DGCC.16.0_22.6,Arachidonic.acid,ST.29.2.O5.3,SL.10.0.O.16.0.O
e2129b00629b2a5d81320b0500024ce1,0.575514896,0.029818036,0.380713182,0.545698778,0.765007943,0.966054804,0.732367505,0.042442272,0.932156736,0.099185816,0.636819812,0.575514896,0.700094231
5860884ee5c42eec4b978170700ccd62,0.864689785,0.932156736,0.460030329,0.831214098,0.932156736,0.864689785,0.380713182,0.636819812,0.66823104,0.07692881,0.264586047,0.831214098,0.205386351
abac693ac832de52a3f310fcb3efde67,0.761084067,0.104289826,0.862394192,0.452055615,0.452055615,0.794576966,0.538651441,0.23506871,0.695164092,0.828362897,0.568838014,0.480224692,0.695164092
b9ecf0c4d368175b3e5ecc6b21ef2835,0.764045117,0.25195669,0.048568195,0.682839816,0.604359355,0.417477917,0.458068844,0.682839816,0.317822682,0.023655353,0.283899976,0.65108385,0.604359355
2c771622b52d03e59d5a6ed08b5473c7,0.453753298,0.859366191,0.780299431,0.859366191,0.839472418,0.780299431,0.185549132,0.437613517,0.879328675,0.318262424,0.722087328,0.722087328,0.839472418
76ff22e7f1d7495bd3cdf625d8418f00,0.109804,0.604359355,0.294990244,0.604359355,0.20323552,0.558846375,0.176759832,0.500268264,0.329560365,0.847294022,0.378594961,0.35366633,0.965912542
113312d2592bc1747c8f413b4c00ad4e,0.286105102,0.898352804,0.355819573,0.545698778,0.432845327,0.099185816,0.932156736,0.099185816,0.029818036,0.380713182,0.067085787,0.355819573,0.049867231
87268e3039de9b0005b1e42e51ea4fc7,0.322898563,0.005555424,0.538651441,0.178927491,0.347080122,1,0.452055615,0.037688292,0.896622545,0.424626998,0.568838014,0.322898563,0.930999141
15258326978d3562a1f9aa731ca8a159,0.260487623,0.159555948,0.142664562,0.416291119,0.142664562,0.743161784,0.333899141,0.925695188,0.416291119,0.216837546,0.538608766,0.216837546,0.815318071
9966ba5c81f9198836790fc38be7c474,0.966054804,1,0.111632988,0.898352804,0.264586047,0.966054804,0.264586047,0.605901274,0.575514896,0.099185816,0.224216107,0.898352804,0.205386351
1aee159d79ecf136dc884194c8507503,0.797971695,0.605901274,0.700094231,0.636819812,0.331739801,0.700094231,0.966054804,0.432845327,0.864689785,0.087622829,0.932156736,0.700094231,0.831214098
69fd10384abd0a3d2519c598038da377,0.487922275,0.700094231,0.170470661,0.765007943,0.243952436,0.205386351,0.864689785,0.286105102,0.154390121,0.099185816,0.170470661,0.898352804,0.308495272
8790a37d08e93923e6b290be8664c800,0.545698778,0.049867231,0.380713182,0.516489552,0.898352804,0.487922275,0.545698778,0.087622829,0.545698778,0.067085787,0.66823104,0.487922275,1
5d8f0565e843a5edcff5a59fb39d3c41,0.765007943,0.575514896,0.932156736,0.545698778,0.765007943,0.831214098,0.864689785,0.636819812,0.864689785,0.029818036,0.700094231,0.636819812,0.898352804
651474385f6960f6114f05a65b3ef48f,0.058073058,0.898352804,0.432845327,0.765007943,0.966054804,0.035769575,0.406397014,0.154390121,0.02455415,0.154390121,0.087622829,0.797971695,0.355819573
75d77bf07431f34c20195ae42ca2cae2,0.573874658,0.103506885,0.430823158,0.589047241,0.283899976,0.500268264,0.635382648,0.056676692,0.366029243,0.948883729,0.176759832,0.698884129,0.458068844
b81162fddd279b8aa60859ca04342bf5,0.946836001,0.371481998,0.274269322,0.6378521,0.57383506,0.542741408,0.252316321,0.126351474,0.308991804,0.737778012,0.308991804,0.6378521,0.174344715
dad1940f0ee64b92020effb49374c42c,0.761084067,0.568838014,0.538651441,0.538651441,0.695164092,0.662828041,0.397969535,0.322898563,0.538651441,0.862394192,0.794576966,0.452055615,0.162108899
f9f260b69de5ce05161f2fc329675643,0.111632988,0.087622829,1,0.099185816,0.139226868,0.636819812,0.355819573,0.124976784,0.66823104,0.575514896,0.331739801,0.286105102,1
a83de6025f29b7f79c3fded1c94affc8,0.20323552,0.023655353,0.635382648,0.194179176,0.573874658,0.965912542,0.25195669,0.015240185,0.931872806,0.486029614,0.20323552,0.306298535,0.948883729
722d63433daeeb43b5fd57b14acfc81e,0.194179176,0.023655353,0.273029747,0.283899976,0.458068844,0.81379431,0.212522295,0.091583366,0.747618229,0.152367402,0.982953287,0.458068844,0.81379431
562498fc8617e52a80fd0178bf43aa22,0.771936932,0.081567507,0.482591715,0.621632737,0.982269715,0.704011728,0.841231156,0.358535187,0.57383506,0.02792426,0.946836001,0.482591715,0.720842697
438501a801587579f377932febc17de8,0.893853069,0.174344715,0.497362103,0.858720651,0.371481998,0.453613097,0.558207545,0.126351474,0.512313721,0.964546145,0.439413762,0.946836001,0.308991804
c3584e8b2577ece80a25caf32e0645c1,0.879328675,0.084984196,0.175399548,0.520766693,0.939531117,0.304640592,0.959670941,0.538099613,0.332183074,0.012732204,0.503658582,0.375695342,0.555650009
9d1762fa1ddeffdf07efa96afb54ed66,0.965912542,0.830514635,0.500268264,0.864126671,0.404322536,0.948883729,0.500268264,0.780553853,0.797138809,0.25195669,0.666904636,0.931872806,0.430823158
aafb59dafb52480a28ef61c02782b313,0.815318071,0.953528039,0.243612992,0.438197804,0.126870367,0.953528039,0.514688677,0.638240151,0.514688677,0.861067277,0.861067277,0.401968584,0.514688677
f04306111fe437d89a219f95db2104c3,0.6378521,0.57383506,0.589618693,0.308991804,0.425413443,0.425413443,0.876263484,0.558207545,0.558207545,0.105704572,0.345809685,0.527441791,0.771936932
7a10cdddeb7ffbb337348f89beb3521e,0.666904636,0.031656557,0.931872806,0.731278765,0.589047241,0.847294022,0.864126671,0.023655353,0.948883729,0.176759832,0.417477917,0.731278765,0.486029614
27b32011812b2d813be7876a9fc318d5,0.630966824,0.322898563,0.896622545,0.146240258,0.480224692,0.930999141,0.509101515,0.509101515,0.828362897,0.424626998,0.452055615,0.255658533,0.828362897
1930787479bb9ad89d941e288bdb7d23,0.333308653,0.081567507,0.040660848,0.285606535,0.252316321,0.411616235,0.57383506,0.964546145,0.165720677,0.052328627,0.345809685,0.119223463,0.468007207
4294753735e37506c752f292adc004d0,0.103506885,0.366029243,0.25195669,0.529241311,0.965912542,0.543967067,0.160266668,0.329560365,0.731278765,0.378594961,0.948883729,0.619806139,0.847294022
6472cd741467da50c1227401418ecd7a,0.831214098,0.003704777,0.124976784,0.187469855,0.864689785,0.406397014,0.732367505,0.205386351,0.286105102,0.067085787,0.831214098,0.170470661,0.732367505
bfc6223f569d7996c1937c024c7b334c,0.154390121,0.898352804,0.636819812,0.575514896,0.308495272,0.932156736,0.355819573,0.308495272,0.545698778,0.406397014,0.636819812,0.432845327,0.864689785
c305dfb57c2b8c9a96ad53ed7f94093a,0.475797239,0.126870367,0.725369136,0.272070827,0.725369136,0.475797239,0.272070827,0.475797239,0.475797239,1,0.475797239,0.126870367,0.725369136
3afe774ac732a2892ab8dbc7912040b1,0.194179176,0.366029243,0.88100675,0.144699332,0.048568195,0.471961793,0.604359355,0.65108385,0.764045117,0.529241311,0.514673586,0.176759832,0.543967067
6cebfa834b33d62f33ceae9f34a90661,0.093157828,0.252316321,0.806438342,0.558207545,0.670687144,0.893853069,0.321035084,0.014235675,0.605553076,1,0.040660848,0.720842697,0.497362103
e67d730135c0aa4bb75e5d0f474af994,0.264586047,0.575514896,0.049867231,0.308495272,0.460030329,0.636819812,0.049867231,0.932156736,0.432845327,0.243952436,0.636819812,0.331739801,0.170470661
e2ccdb62e996c7d768672016eb973e86,0.599623064,0.178927491,0.509101515,0.538651441,0.509101515,0.092161953,0.930999141,0.424626998,0.299588759,0.215411703,0.930999141,0.372111793,0.828362897
8e61c50a4bfad4a656169730d6ccde52,0.851884805,0.445610481,0.387876789,0.779057343,0.506811001,0.638240151,0.638240151,0.112164986,0.445610481,0.743161784,0.308396071,0.604372172,0.098536043
11aa66a30cde9c4910381bdf40764c81,0.959670941,0.291321404,0.42173197,0.959670941,0.26560479,0.722087328,0.241137197,0.278308393,0.839472418,0.939531117,0.437613517,0.859366191,0.360904075
010791e68b1cf9b37cf92a05d8ca0155,0.542741408,0.052328627,0.982269715,0.841231156,0.558207545,0.982269715,0.789147998,0.010943137,0.876263484,0.149224054,0.345809685,0.929145985,0.497362103
5295dd3fba83b534ccd91255f5c85408,0.126870367,0.725369136,0.725369136,0.475797239,0.725369136,0.725369136,0.126870367,0.272070827,0.725369136,0.475797239,0.272070827,0.725369136,0.725369136
888fe5f5ce64b0b86026b05aacf76340,0.815318071,0.063924123,0.815318071,0.216837546,0.033013078,0.861067277,0.77004693,0.514688677,0.638240151,0.514688677,0.815318071,0.333899141,0.475797239
c1a36414f76d5bc9570aa9cd76c6ab89,0.126870367,0.725369136,0.272070827,0.725369136,0.126870367,0.725369136,0.725369136,0.126870367,0.272070827,0.725369136,0.272070827,0.475797239,0.272070827
0a5dd61b9c5abb8272449ebdb9e64a26,0.085967159,0.333899141,0.260487623,0.604372172,0.260487623,0.416291119,0.098536043,0.638240151,0.260487623,0.260487623,0.360402228,0.260487623,0.743161784
cba02cf3450b501a626eeec6af62c41b,0.168397435,0.294990244,0.897928395,0.914885718,0.65108385,0.948883729,0.273029747,0.034670107,0.780553853,0.231784065,0.417477917,0.731278765,0.558846375
7420f69e3b7342114aa3d72d85146486,0.965474778,0.761084067,0.372111793,0.397969535,0.372111793,0.509101515,0.299588759,0.092161953,0.23506871,0.896622545,0.104289826,0.452055615,0.016814014
a5174368e442de4e7934492ef8863b5b,0.308495272,0.124976784,0.029818036,0.308495272,0.406397014,0.154390121,0.831214098,0.898352804,0.035769575,0.029818036,0.286105102,0.124976784,0.308495272
64138b45d423a0faea67d8f711fbf66e,0.366029243,0.056676692,0.715032245,0.458068844,0.262381417,0.317822682,0.682839816,0.017117126,0.391360449,0.931872806,0.25195669,0.797138809,0.471961793
d527e281ad03dc5d3442f0b17de25787,0.035769575,0.170470661,0.898352804,0.700094231,0.66823104,0.575514896,0.154390121,0.007224785,0.432845327,0.406397014,0.224216107,1,0.636819812
b2bb357bc06303cb5855a8ebcc88e7f9,0.264586047,0.636819812,0.575514896,0.545698778,1,0.605901274,0.042442272,0.605901274,0.932156736,0.932156736,0.797971695,0.765007943,0.139226868
cf872dbe002b9115ca9a3016f9a10cb7,0.460030329,0.019942126,0.575514896,0.406397014,0.898352804,0.966054804,0.765007943,0.015944017,0.932156736,0.243952436,0.308495272,0.432845327,0.636819812
be5281dcc05a347d657a220d4dc9192f,0.527441791,0.482591715,0.946836001,0.858720651,0.982269715,0.497362103,0.911482784,0.141350837,0.946836001,0.497362103,0.297181462,0.964546145,0.411616235
67f81f00c3b201bbe37bf6e789dab608,0.215411703,0.021026303,0.277169878,0.146240258,0.930999141,0.965474778,0.372111793,0.070605206,0.896622545,0.480224692,0.599623064,0.23506871,0.965474778
721bb4a70294afe4f5907febb4b27a28,0.438197804,0.146784307,0.168414616,0.438197804,0.90717701,0.815318071,0.092120273,0.367180978,0.725369136,0.033013078,0.638240151,0.638240151,0.333899141
f1b96311f82b6a8a28463b64d538e06d,0.347080122,0.322898563,0.794576966,0.255658533,0.630966824,0.070605206,0.630966824,0.092161953,0.178927491,0.23506871,0.044707236,0.480224692,0.480224692
