#NAME,S10A,S10B,S10C,S11A,S11B,S11C,S12A,S12B,S12C,S13A,S13B,S13C,S1A,S1B,S1C,S2A,S2C,S3A,S3B,S3C,S4A,S4B,S4C,S5A,S5C,S6A,S6B,S6C,S7A,S7B,S7C,S8A,S8B,S8C,S9A,S9B,S9C,SW0A,SW0B,SW0C,SW1A,SW1B,SW1C,SWFA,SWFB,SWFC
40de6cd93f5e6916efe9981f1b654661,972,355,0,431,99,584,0,0,768,0,8,60,8,5,3,8,4,0,45,1374,0,0,0,102,0,17,0,0,326,948,0,331,0,21,0,967,0,0,871,103,0,547,21,19,0,51
e2129b00629b2a5d81320b0500024ce1,9805,8063,34796,618,28183,23206,10023,43,10743,240,747,9686,705,1695,4509,13153,5144,13,139,1043,255,45,13526,366,5891,1472,6122,6,5471,984,110,1194,48,29635,81,528,34697,75,2353,5067,548,7102,15383,16263,4318,5211
65e6d91d10567313fb8860bc27e88e13,202,0,0,124,37,100,0,0,94,0,0,0,0,0,0,0,0,0,24,2961,7,0,0,0,0,0,0,0,0,85,0,105,0,0,0,2320,0,0,289,0,0,62,0,16,0,0
a351235055d191095049b2d5bc0bc28a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16c5950e1db63b70467242691e29eb3f,0,0,0,43,0,0,0,0,0,2587,5538,1030,0,0,0,4,0,0,363,2928,0,0,0,1394,338,1071,0,0,0,0,0,0,0,0,0,535,0,0,0,0,0,0,0,112,1841,549
358173a4ee99c72f5c5fd5711d4e6238,557,0,0,369,46,152,0,0,312,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,423,139,0,40,0,0,0,48,0,0,171,15,0,0,0,38,0,0
5860884ee5c42eec4b978170700ccd62,426,1751,47,2643,524,367,1152,97,80,179,288,3027,0,0,9,2981,15,0,167,602,0,912,43,487,414,563,616,1099,1367,1115,203,1473,528,709,81,1188,9,313,49,305,190,357,98,248,328,2345
4f3b636d4dbb1e7b7968e5892a6316d3,0,131,0,0,0,0,3407,555,0,0,0,0,0,0,0,61,0,0,0,2127,0,2334,0,0,0,0,787,2569,0,36,1979,34,1356,0,494,3572,0,1597,0,0,654,0,0,0,0,35
de8474f7ac2755df6f4407ea2c2d9526,0,0,0,0,0,0,0,0,0,2041,3393,1498,0,0,0,0,34,0,577,1154,18,0,0,1044,346,1117,0,0,0,0,0,0,0,0,0,135,0,0,0,29,0,0,0,115,1443,245
5a7745ddf557536af2f276004a34601d,0,0,0,0,0,0,0,0,0,362,355,110,4,0,0,62,29,0,199,73,0,0,1,429,185,247,26,0,0,0,8,0,0,0,0,0,20,0,0,0,0,0,0,238,19,72
