＃NAME,Name,Type,Treatment,environment,Group,All_type,All_type_wild,Group1,Group2,Group3
S1A,S1A,coral,Sclero,tank,week1,tank_1,wild,Tank,NA,NA
S1B,S1B,coral,Sclero,tank,week1,tank_1,wild,Tank,NA,NA
S1C,S1C,coral,Sclero,tank,week1,tank_1,wild,Tank,NA,NA
S2A,S2A,coral,Sclero,tank,week2,tank_2,tank,NA,NA,NA
S2C,S2C,coral,Sclero,tank,week2,tank_2,tank,NA,NA,NA
S3A,S3A,coral,Sclero,tank,week3,tank_3,tank,NA,NA,NA
S3B,S3B,coral,Sclero,tank,week3,tank_3,tank,NA,NA,NA
S3C,S3C,coral,Sclero,tank,week3,tank_3,tank,NA,NA,NA
S4A,S4A,coral,Sclero,tank,week4,tank_4,tank,NA,NA,NA
S4B,S4B,coral,Sclero,tank,week4,tank_4,tank,NA,NA,NA
S4C,S4C,coral,Sclero,tank,week4,tank_4,tank,NA,NA,NA
S5A,S5A,coral,Sclero,tank,week5,tank_5,tank,NA,NA,NA
S5C,S5C,coral,Sclero,tank,week5,tank_5,tank,NA,NA,NA
S6A,S6A,coral,Sclero,tank,week6,tank_6,tank,NA,Tank,NA
S6B,S6B,coral,Sclero,tank,week6,tank_6,tank,NA,Tank,NA
S6C,S6C,coral,Sclero,tank,week6,tank_6,wild,NA,Tank,NA
S7A,S7A,coral,Sclero,tank,week7,tank_7,wild,NA,NA,NA
S7B,S7B,coral,Sclero,tank,week7,tank_7,wild,NA,NA,NA
S7C,S7C,coral,Sclero,tank,week7,tank_7,tank,NA,NA,NA
S8A,S8A,coral,Sclero,tank,week8,tank_8,tank,NA,NA,NA
S8B,S8B,coral,Sclero,tank,week8,tank_8,tank,NA,NA,NA
S8C,S8C,coral,Sclero,tank,week8,tank_8,tank,NA,NA,NA
S9A,S9A,coral,Sclero,tank,week9,tank_9,tank,NA,NA,NA
S9B,S9B,coral,Sclero,tank,week9,tank_9,tank,NA,NA,NA
S9C,S9C,coral,Sclero,tank,week9,tank_9,tank,NA,NA,NA
S10A,S10A,coral,Sclero,tank,week10,tank__10,tank,NA,NA,NA
S10B,S10B,coral,Sclero,tank,week10,tank__10,tank,NA,NA,NA
S10C,S10C,coral,Sclero,tank,week10,tank__10,wild,NA,NA,NA
S11A,S11A,coral,Sclero,tank,week11,tank_11,wild,NA,NA,NA
S11B,S11B,coral,Sclero,tank,week11,tank_11,wild,NA,NA,NA
S11C,S11C,coral,Sclero,tank,week11,tank_11,tank,NA,NA,NA
S12A,S12A,coral,Sclero,tank,week12,tank_12,tank,NA,NA,NA
S12B,S12B,coral,Sclero,tank,week12,tank_12,tank,NA,NA,NA
S12C,S12C,coral,Sclero,tank,week12,tank_12,tank,NA,NA,NA
SW0A,SW0A,coral,Sclero,wild,week0,wild_0,tank,Wild,Wild,Wild
SW0B,SW0B,coral,Sclero,wild,week0,wild_0,tank,Wild,Wild,Wild
SW0C,SW0C,coral,Sclero,wild,week0,wild_0,wild,Wild,Wild,Wild
SW1A,SW1A,coral,Sclero,wild,week6,wild_6,wild,Wild,Wild,Wild
SW1B,SW1B,coral,Sclero,wild,week6,wild_6,wild,Wild,Wild,Wild
SW1C,SW1C,coral,Sclero,wild,week6,wild_6,wild,Wild,Wild,Wild
SWFA,SWFA,coral,Sclero,wild,week19,wild_19,wild,Wild,Wild,Wild
SWFB,SWFB,coral,Sclero,wild,week19,wild_19,wild,Wild,Wild,Wild
SWFC,SWFC,coral,Sclero,wild,week19,wild_19,wild,Wild,Wild,Wild
S13A,S13A,coral,Sclero,tank,week19,tank_19,wild,NA,NA,Tank
S13B,S13B,coral,Sclero,tank,week19,tank_19,wild,NA,NA,Tank
S13C,S13C,coral,Sclero,tank,week19,tank_19,wild,NA,NA,Tank
