"","Level_1","Level_2","Level_3","Biochar","CORAL1","CORAL2","CORAL3","CORAL4","CORAL5","F4A","F4B","L10A","L10B","L10C","L11A","L11B","L11C","L12A","L12B","L12C","L13A","L13B","L13C","L1A","L1B","L1C","L2A","L2B","L2C","L3A","L3B","L3C","L4A","L4B","L4C","L5A","L5B","L5C","L6A","L6B","L6C","L7A","L7B","L7C","L8A","L8B","L8C","L9A","L9B","L9C","LM","LW0A","LW0B","LW0C","LW1A","LW1B","LW1C","LWFA","LWFB","LWFC","RTB","RTC","S10A","S10B","S10C","S11A","S11B","S11C","S12A","S12B","S12C","S13A","S13B","S13C","S1A","S1B","S1C","S2A","S2C","S3A","S3B","S3C","S4A","S4B","S4C","S5A","S5C","S6A","S6B","S6C","S7A","S7B","S7C","S8A","S8B","S8C","S9A","S9B","S9C","SHG","SW0A","SW0B","SW0C","SW1A","SW1B","SW1C","SWFA","SWFB","SWFC","WA0","WA1","WA2","WA3","WB0","WB1","WB2","WB3","WC0","WC1","WC2","WC3","WW0","WW1","WW2"
"ko01100","1. Metabolism","1.0 Global and overview maps","Metabolic pathways",68865.5737704919,70748.8022702612,69574.2827868853,67262.2824036796,65862.2583926753,70010.5606258147,65635.7937902752,43081.4814814814,43848.8349033217,62718.0498773507,41369.668388802,59370.3060042255,70449.0635136549,48815.5112077933,46705.1380368098,45386.9347739096,43626.0075053028,62449.1050583657,61159.9378881985,59288.0733944953,72076.5874210049,69290.604962364,40123.4195709499,57159.5465393795,72877.0845150314,59257.888398234,69315.0964187328,66643.8247011951,43270.5194452,62876.4886669228,80231.6603196303,45026.3591177384,46503.0506577103,40630.0828909379,38839.9374540103,54269.7685079073,69203.7322806387,60824.2835595775,39395.3507014027,57191.5625236689,73947.5913516246,42411.0487804878,43470.6107145431,44759.3959731543,64859.7227917657,65023.8418079095,55572.8477866331,67388.3756882938,70255.481845045,40365.4545454544,69513.5638297871,39163.1515314346,38456.7706547821,39237.8361997121,40588.2856419346,68531.9796954315,72814.566929134,38400,38400,73020.938215103,66892.2077922078,69410.2564102564,72494.249201278,70573.491773309,70178.1911481719,68494.3508188939,68164.9667405764,72679.1226215645,71718.2839632277,65182.4881141045,62814.9284253579,75496.4473684211,67753.7014709429,69700.4391381911,71925.6724367511,70330.6324612649,59350.8231925556,68652.8149048199,47202.044688027,75305.5540576975,73242.9665457479,71982.3943661973,70249.7499999998,67427.3300206035,67506.7623899954,64234.8127600554,71367.7148846958,50029.418344519,71315.787767452,72750.3503503504,68626.6424828697,69275.6641521811,71006.9597069597,66344.540229885,45255.0761421322,69955.5555555555,38400,55297.6361031518,61974.7575057736,67201.8627682152,69589.2686261108,69782.7209231704,43608.8659793815,59091.7582417584,64674.755700326,60289.3880438628,62232.5417766051,75384.0514829322,65867.9002192983,64114.2945929149,63804.7850376489,71853.7351958699,55636.9780276997,63553.2112068965,64392.6245847177,65756.3902439025,63318.5541746893,61378.2638649673,63558.6374959385,65459.7014925372,71789.7510980967
"ko01110","1. Metabolism","1.0 Global and overview maps","Biosynthesis of secondary metabolites",29474.3169398906,29425.9661130123,29593.7243852459,29004.892100328,28452.2589910837,29725.55410691,28045.049794962,22206.3492063491,22258.7878036688,27224.0392477514,21604.7218551003,26535.4528726232,29103.4529664121,23586.1628676818,23118.1237218814,22734.6138455382,22143.5470713004,27619.6887159533,27110.248447205,26436.4351245085,29511.4053566055,29999.5818232506,21244.993229278,25700.139220366,29906.1259217243,26520.5539943797,29795.7575757575,28726.2948207171,22193.8808811531,28117.2493276988,32106.6790352505,22549.5650823237,22908.228379513,21401.471546987,20930.9142752024,25083.4975933991,29257.1505472816,26969.0799396682,21064.6359385437,25875.7176399303,30127.2600834493,21895.6097560976,22201.5069579638,22528.0014914243,27788.0669236447,28373.8983050847,25390.6336305531,29209.5227829858,28943.0069959506,21301.8181818182,28551.0638297872,21064.5351961311,20812.7528282482,21015.9254488977,21356.6219296024,29458.7140439932,29424.4094488189,20800,20800,29839.3020594966,28183.1168831169,29015.3846153846,29569.1921497033,29466.7276051188,28732.2642719692,28692.7842392595,28483.2224685884,29746.3002114165,29665.4068777664,28194.7702060222,27655.6237218814,30331.052631579,28451.5071135761,29005.8871963771,29346.2316910786,28997.078994158,26370.1503221188,28663.5479951398,23192.6011804385,30347.0207603127,30264.7319629182,29790.6103286385,29239.75,28353.9328566234,28695.7850856878,27609.9167822469,29476.8972746332,23762.8635346756,29167.6572293063,30006.4064064065,28626.6424828698,29193.1452935388,29104.0293040293,28296.9827586207,22614.847715736,29100,20800,25072.9226361031,26689.3648960739,27960.5517566611,28943.9507860561,28511.5851806863,22109.2783505155,26460.7142857142,28268.4039087948,26570.8171206226,27597.5373790677,30392.2464714295,28194.0789473684,28570.0745804848,27560.7238280302,29628.7579714546,25847.4747474747,28736.4655172414,27561.2624584717,28228.5365853659,28092.5083143707,27677.6438167413,27879.0425647135,28591.0447761194,29895.7540263543
"ko01120","1. Metabolism","1.0 Global and overview maps","Microbial metabolism in diverse environments",19922.4043715847,22044.4203321926,21441.3165983606,20383.3370263683,19776.1833522829,21587.7444589309,19256.2975981254,10641.798941799,11042.0674268716,18243.9697465249,10090.0997236573,16620.4797928167,21033.7658260961,12960.7869100539,12054.9718813906,11620.5482192877,10995.2357643988,18075.8754863813,16920.4968944099,17506.6841415465,22566.0547697863,20254.697518818,9564.32898581712,16440.3937947494,23046.0578559274,17194.259333601,20338.0165289256,19933.6653386454,10937.6393799293,19068.3442182097,24022.8265468867,11395.9459459459,12167.2544080604,9721.71928844183,9085.20971302427,15496.3557185423,20385.3579759555,17456.8627450981,9292.26452905812,16022.3888510187,22963.2444051081,10431.3658536585,10858.1584829476,11466.9463087249,19622.8819814648,18621.4689265537,15885.5598516531,20315.6296579165,20167.1114553429,9752.04545454543,19843.085106383,9255.15851692638,8924.06582104904,9188.55216304266,9779.49354266904,20185.7868020305,23350.7874015748,8900,8900,22118.2494279176,19129.5454545455,21420.5128205128,21294.7512551346,20818.4643510055,20117.7677998717,19547.0923332542,19908.4996304509,21977.0084566596,22007.0820565203,18846.117274168,17835.4805725971,23503.6842105263,21191.560163974,21092.8365582545,22066.55126498,22004.699009398,18148.6757337151,21115.7148643175,12298.0817875211,23630.8169317875,23052.559451834,21978.8732394366,21052.8269230769,20788.5953217792,19902.269569245,18815.117891817,20784.0251572328,13042.9530201342,20561.7246596066,21862.0620620621,19772.3700120919,20595.8346999016,22160.4395604396,19368.1034482758,11569.6700507615,20300,8900,15088.323782235,17150.207852194,18997.3355340722,20392.4128503076,19747.0543577285,10736.4432989691,16712.6373626374,18666.1237785016,17436.8234877963,18074.0545294635,23720.9040601877,19507.6754385965,17964.7917961467,18701.7002671848,22150.2125721227,14791.9400187441,17717.2198275862,18973.6212624585,19023.0487804878,17999.8074566778,16826.8343093352,18614.2098992743,19429.8507462687,22195.60761347
"ko01200","1. Metabolism","1.0 Global and overview maps","Carbon metabolism",10801.6393442623,11669.4516317503,11496.7981557377,11003.1848372993,10675.1181856262,11361.7805922891,10525.4833040422,7112.69841269841,7183.23004462072,10113.4709730172,6767.57779646762,9601.48572207455,11402.8879355446,7938.26728459283,7620.74386503067,7402.08083233293,7151.98237885463,10166.6147859922,9689.13043478261,9923.59108781127,11774.2100511586,10095.9297463061,6593.10099066353,9271.02227525855,11452.2972206466,9741.71015656363,10439.7245179063,10368.9243027888,7091.56921403319,10401.4022281982,13190.8212088663,7317.6918297608,7626.75622726,6660.54763900531,6371.86350257543,8919.64244785698,11258.5860398349,9826.84766214179,6465.79826319306,9360.56199348632,12030.5980528512,6920.24390243903,7084.77900353306,7355.12677106637,10604.7650291151,10470.0564971751,9068.82348299534,11107.7051946932,10867.146813938,6587.5,10665.1595744681,6431.66308436325,6311.10730202263,6418.73626789908,6646.24968346417,10597.1235194585,12101.968503937,6300,6300,11845.5663615561,10466.2337662338,11197.4358974359,11470.3788224555,11104.5703839123,10904.4900577293,10676.3826252077,10809.682187731,11770.4545454546,11676.9833163092,10464.9762282092,10116.7689161554,12284.0131578947,11050.3014227152,11355.5647042679,11611.5579227696,11562.6619253239,9358.91195418755,11154.0299716484,7711.19308600338,12241.3588568347,11978.43611447,11692.9577464789,11284.8846153846,10973.3365652648,10857.2024085225,10432.8016643551,11197.6939203354,7958.38926174496,11005.802896045,11571.0710710711,10757.4365175333,11132.9616267629,11516.8498168498,10612.6436781609,7359.99365482233,10888.8888888889,6300,8861.24641833811,9635.71593533487,10386.3239801934,10984.005468216,10671.727907683,7014.8969072165,9546.42857142857,10603.5830618893,9809.69225327202,10026.5611257696,12320.8729714605,10757.5109649123,10125.7613424487,10253.728443041,11665.821439417,8770.19681349578,10074.8922413793,10341.2624584718,10549.756097561,10305.8113075442,9800.51670685498,10546.6587241417,10338.8059701493,11848.1698389458
"ko01210","1. Metabolism","1.0 Global and overview maps","2-Oxocarboxylic acid metabolism",2842.62295081967,2926.05792504799,2845.69672131148,2722.66298444061,2723.01478068338,2844.58930899609,2672.75922671353,2296.2962962963,2330.44124938027,2680.6623058054,2267.80607953862,2676.1125877462,2850.0575494402,2425.41378984205,2372.50766871165,2334.03361344538,2307.91319954316,2555.56420233463,2566.45962732919,2559.10878112713,2957.7490219681,3139.42012824087,2218.68719264486,2681.30469371519,3200,2717.70373344038,3040.44077134986,2919.9203187251,2304.51454990481,2708.08682289666,3271.92005988998,2310.56228642435,2414.10579345088,2257.29719660985,2208.20456217807,2551.63878065551,2856.68401220169,2624.13273001508,2224.71609886439,2634.59062334318,3120.6473637628,2292.75609756097,2299.95673804889,2311.55853840418,2778.96333962109,2616.1581920904,2567.7108814014,2777.07288830855,2799.24315769091,2267.95454545455,2777.39361702128,2210.38420204191,2200.2056907782,2214.92537313433,2254.34287161307,2953.46869712352,2962.59842519685,2200,2200,2926.80205949657,2706.16883116883,2928.20512820513,2870.3788224555,2904.20475319927,2791.14817190507,2758.46190363162,2705.24759793052,2897.72727272727,3007.76302349336,2724.88114104596,2679.14110429448,2964.67105263158,2831.90258017844,2821.76478660629,2887.4034620506,2903.53060706122,2717.39441660701,2853.46294046173,2367.20067453626,2915.17929361014,2973.55904877066,2809.3896713615,2928.55769230769,2841.91007150648,2817.13756368689,2679.75034674064,2796.81341719077,2429.64205816555,2812.14609898422,2805.4054054054,2779.16162837565,2698.39291571007,2929.30402930403,2650.28735632184,2351.1421319797,2800,2200,2448.92550143267,2629.53810623556,2717.99103984909,2720.77922077922,2760.50713634983,2293.86597938144,2695.05494505495,2628.33876221498,2683.26848249027,2606.42040457344,3184.25666853199,2667.50274122807,2728.93101305158,2690.25989798397,3055.83054965078,2546.32927210247,2700.21551724138,2727.44186046512,2719.41463414634,2623.84036408192,2563.52049603858,2571.48272500812,2689.55223880597,2713.61639824305
"ko01212","1. Metabolism","1.0 Global and overview maps","Fatty acid metabolism",3196.72131147541,3411.73524747517,3306.1987704918,3268.31484113645,3319.17898390282,3344.216800149,3138.01991798477,1791.00529100529,1847.47149231532,2999.91823385119,1674.25808001923,2770.4491242418,3116.94046248823,2076.0805826161,1989.32770961145,1938.61544617847,1747.00603687388,3763.89105058366,3363.66459627329,2712.7129750983,3458.50135419801,3563.2004460552,1581.93999002209,2787.05250596659,4811.74134997164,2823.3239662786,3355.15151515152,3435.25896414343,1832.03698667392,3360.48789857856,3862.50691664225,1937.62037899969,2146.93534844668,1637.72934711744,1538.04267844003,2522.25532890213,3546.74322626951,3317.64705882353,1562.40480961924,2588.66924183898,4314.8059173094,1814.0243902439,1818.58100800346,1918.84787472036,2958.12351349135,3772.99435028249,2559.96212420106,3393.98797718622,2888.89066617277,1735.22727272727,2793.8829787234,1584.88715744224,1502.46828933836,1535.7299795439,1654.54545454545,3704.90693739425,3512.59842519685,1500,1500,3145.59496567506,2994.48051948052,3112.82051282051,2957.14285714286,3238.39122486289,2760.61577934573,3001.80394018514,2848.78048780488,3168.28752642706,4181.88627851549,3755.07131537242,3490.59304703476,3338.42105263158,2945.21340728237,3172.25195553726,3101.46471371505,3200,2303.50751610594,3433.00931551235,2100.88532883642,3209.05904556484,3355.9048770657,3256.57276995305,3492.61538461538,3336.54102533026,3848.95785085688,2764.84049930652,2954.00419287212,2029.75391498881,2880.36524746056,2929.92992992993,2935.65094719871,3007.08428993112,3207.32600732601,2773.27586206896,1896.44670050761,3066.66666666667,1500,2184.52722063037,2398.01385681293,2594.01084649847,2807.24538619275,2661.75220163984,1697.57731958763,2926.37362637363,3851.62866449511,3130.10258224266,3587.51099384345,4457.78772617049,3921.62828947368,3315.32007458049,3395.19067282002,4177.22441542666,3181.93272935541,3369.52586206897,3358.80398671096,3281.87804878049,3897.33940136531,3476.0592490527,2701.84122170475,2588.05970149254,3062.37188872621
"ko01230","1. Metabolism","1.0 Global and overview maps","Biosynthesis of amino acids",12087.9781420765,12407.5953593189,12241.8545081967,11862.5861332843,11708.2879540422,12221.3633823803,11972.1734036321,10092.5925925926,10172.1616261775,11541.8438266558,9935.07749609516,11445.7098071287,12615.3081510934,10518.2824174785,10379.7418200409,10200.9003601441,10167.2214064285,10980,11140.6832298137,11244.1677588466,12608.1853746615,11972.0657931419,9826.86194854252,11329.5346062052,12247.9296653432,11578.4423926134,12163.4710743802,11888.0478087649,10077.1280935545,11584.0184402612,13896.875305146,10110.3758931345,10430.0867618248,9912.87137934246,9734.56585724798,11012.8122851249,12243.4236497398,11200.4524886878,9793.70741482967,11369.279709157,12875.9261600708,9995.0487804878,10060.545100584,10137.7143922446,12027.7372262774,11288.1355932203,11045.2379073621,12022.5667968317,13255.978549119,9835.9090909091,13321.8085106383,9747.0042987641,9704.11381556394,9791.88574892037,9887.37908331224,12013.8747884941,12710.6299212598,9700,9700,12988.2437070938,12267.8571428571,12284.6153846154,13149.0187129165,12697.8062157221,13268.05644644,12747.8993591265,12495.4175905395,12813.4778012685,12470.7524685053,11618.383518225,11280.0613496933,12933.2236842105,12001.4709428503,12269.891587759,12484.3408788282,12406.4262128524,10883.9656406586,12223.8558120697,10321.5219224283,12853.734160151,12744.4175735591,12465.2582159624,12654.3076923077,12111.8531087141,12034.1361741547,11982.1081830791,13267.0440251572,11038.1431767338,13476.6371298898,12999.6996996997,12573.4784361145,12546.4414562152,12817.5824175824,12349.5689655172,10238.3248730964,12944.4444444444,9700,11227.3638968481,12401.8475750577,12949.3279886819,12720.02734108,13355.6787124203,10202.7835051546,11435.7142857143,11261.8892508143,11439.5825963919,10952.5945470537,13044.7739849531,11530.1398026316,11516.8116842759,11409.1571532669,12557.0756149408,10537.2175361866,11264.4612068965,11678.4717607973,11805.1219512195,11117.5739541397,11073.0279021702,11516.2893967291,11610.447761194,12535.7247437775
"ko01220","1. Metabolism","1.0 Global and overview maps","Degradation of aromatic compounds",1082.51366120219,1498.07194724981,1440.31762295082,1355.43335513125,1312.08186224642,1556.26746135221,1035.79379027534,347.089947089947,413.621715418939,915.188062142273,307.425207256999,887.214611872147,1243.83174636392,570.074718622908,488.94427402863,422.108843537415,397.732093326807,927.626459143969,793.167701863354,947.968545216252,1496.81011134517,1447.78366322832,232.406813484427,991.666666666667,1671.12875779921,1020.03211561622,1409.42148760331,1265.53784860558,388.659233070438,1101.92086054552,1674.74855971097,371.046908977943,565.687097677022,282.183105150414,215.075423105224,844.281457712583,1250.92409833124,908.14479638009,240.200400801603,862.516094826934,1733.9865975471,349.487804878049,356.053067993366,418.10216256525,1205.72459607972,963.728813559322,867.647755069834,1191.65609332463,801.544833856696,294.090909090909,742.81914893617,225.470177324019,203.496743229345,214.440487915751,289.627753861737,1405.92216582064,1741.33858267717,200,200,1411.27002288329,889.610389610389,1269.23076923077,1095.57279780922,1237.11151736746,840.089801154587,768.21742226442,974.20546932742,1356.81818181818,1566.83690840994,1057.05229793978,965.030674846626,1546.44736842105,1275.57270315891,1198.17483189241,1364.98002663116,1435.17907035814,834.001431639227,1395.8687727825,487.078414839798,1598.08573739552,1619.70979443773,1381.92488262911,1302.09615384615,1315.51327111865,1186.79944418712,984.257975034673,903.14465408805,435.906040268456,816.868381240545,1212.91291291291,912.636033857315,1064.64414562152,1386.08058608059,950.287356321838,428.109137055837,922.222222222222,200,614.469914040115,607.748267898384,747.535958500354,960.902255639098,714.227148496812,274.536082474227,977.197802197803,1018.5667752443,1088.32684824903,913.456464379947,1873.26369458434,1141.26918859649,919.857054070852,961.355355841632,1635.90950501063,558.971154847443,861.659482758621,1005.64784053156,1021.73170731707,1010.15228426396,788.873579056149,882.692515975306,1094.02985074627,1395.46120058565
"ko00010","1. Metabolism","1.1 Carbohydrate metabolism","Glycolysis / Gluconeogenesis",3136.06557377049,3429.82221851264,3427.63831967213,3315.55722492745,3257.60876069655,3425.77761221829,3153.01698886936,2785.71428571429,2805.63956370848,3083.40147179068,2765.25892106212,3009.24827915218,3373.99811656377,2889.53939279296,2851.55930470348,2829.33173269308,2839.59862946647,2962.64591439689,2970.18633540372,3204.3250327654,3504.00240746314,2789.04376916643,2730.26156368042,3037.66905330151,3168.68973340896,3184.94580489763,2959.17355371901,3090.03984063745,2828.8822409573,3308.14444871302,3491.81069557009,2759.13327120224,2835.68429890848,2741.65036788675,2709.78660779985,3107.51776300711,3211.17889825947,2942.53393665158,2723.46025384102,3097.50056805271,3240.27057782273,2741,2782.75290215589,2818.02759134974,3376.60132863118,3028.24858757062,3082.340408743,3332.51210288375,3205.31978481769,2720.90909090909,3181.3829787234,2721.9102632993,2701.02845389098,2712.34942041064,2734.63155229172,2926.22673434856,3534.25196850394,2700,2700,3503.48970251716,3202.5974025974,3484.61538461538,3345.50433591967,3284.09506398537,3228.67222578576,3170.0688345597,3221.21212121212,3460.62367864693,3185.5975485189,3035.65768621236,2918.0981595092,3572.5,3347.04605739089,3387.55317689035,3410.30625832224,3456.56591313183,2961.27415891196,3330.2146618064,2845.27824620573,3684.38932326773,3602.61991132608,3501.8779342723,3209.44230769231,3362.9984244334,3043.1218156554,3245.83911234397,3328.34381551363,2906.15212527964,3258.28830775881,3482.18218218218,3217.00927045546,3349.1308625779,3554.21245421245,3271.69540229885,2812.78553299493,3277.77777777778,2700,2964.32664756447,3065.98152424942,3135.55765149729,3315.37935748462,3149.75706043122,2723.19587628866,3043.40659340659,3031.27035830619,3027.76795189247,2935.44415127528,3279.60579493876,3010.60855263158,3014.7296457427,3018.97012387661,3165.62405101731,2570.7799645944,2856.85344827586,3141.32890365449,3273.34146341463,2906.75652021705,2963.07268343093,3140.09531030001,3144.77611940298,3461.63982430454
"ko00020","1. Metabolism","1.1 Carbohydrate metabolism","Citrate cycle (TCA cycle)",2342.07650273224,2384.14155746599,2397.89959016393,2347.64879778202,2298.85704027287,2403.7064630285,2208.14294083187,1555.55555555556,1548.71095686663,2106.31643499591,1489.73927670311,2037.1089756696,2293.13592131422,1733.75579305779,1655.84100204499,1627.89115646258,1544.78707782673,2255.25291828794,2219.87577639751,2080.73394495413,2368.43213963286,2421.29913576805,1452.49091297841,1890.77167859984,2314.74758933636,2041.02769971899,2382.14876033058,2311.55378486056,1580.36442752244,2253.57280061468,2582.88253100283,1615.0201926064,1581.69605373635,1463.12750302692,1412.41721854305,1885.26243410497,2279.8492732819,2140.72398190045,1428.61723446894,1964.79587972431,2195.23327854343,1513.90243902439,1559.36260725359,1592.02087994034,2185.02419420979,2100.79096045198,1956.65588258502,2296.91484250853,2259.35108559306,1447.04545454545,2205.58510638298,1433.87963460505,1401.43983544738,1422.44109402227,1456.84983540137,2260.40609137056,2331.49606299213,1400,1400,2334.69679633867,2257.46753246753,2184.61538461538,2343.45047923323,2290.8592321755,2243.87427838358,2226.7030619511,2194.23503325942,2377.48414376321,2213.07456588356,2243.18541996831,2135.17382413088,2479.80263157895,2621.24427296841,2356.70371895156,2446.36484687084,2438.58267716535,3081.10236220473,2258.40421223168,1656.85075885329,2468.77864653545,2424.8286981056,2395.53990610328,2305.26923076923,2295.20058174767,2156.32237146827,2092.78779472954,2272.70440251572,1672.48322147651,2270.68294791442,2271.47147147147,2258.08141878275,2194.91636602165,2323.80952380952,2121.83908045977,1608.05837563452,2244.44444444444,1400,1858.88252148997,2026.51270207852,2159.46710681443,2211.20984278879,2236.48648648649,1569.94845360825,1936.26373626374,2191.04234527687,1940.39617969579,2374.75813544415,2196.42479636884,2145.65515350877,2171.9390926041,2259.58222006315,2199.80261160037,1963.25106737478,2116.875,2294.41860465116,2295.36585365854,2071.18851741642,2138.13296589735,2249.81046247157,2313.4328358209,2159.59004392387
