Kingdom,Phylum,Class,Order,Family,Genus,Week0,Group_lefses1,Week6,Group_lefses2,Week19,Group_lefses3
d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Terasakiellaceae,f__Terasakiellaceae,4.402519316259181,Wild,0,NotSig,2.8956114091503458,Tank
d__Bacteria,p__Firmicutes,c__Bacilli,c__Bacilli,c__Bacilli,c__Bacilli,4.3636200649000045,Wild,0,NotSig,0,NotSig
d__Bacteria,p__Firmicutes,c__Bacilli,o__Entomoplasmatales,f__Entomoplasmatales_Incertae_Sedis,g__Candidatus_Hepatoplasma,4.317632163142425,Wild,0,NotSig,0,NotSig
d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Ruegeria,4.243777873819388,Tank,0,NotSig,0,NotSig
d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Spirochaetales,f__Spirochaetaceae,f__Spirochaetaceae,4.191120795,Wild,0,NotSig,0,NotSig
d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Nitrincolaceae,g__Nitrincolaceae,4.137777410861803,Tank,0,NotSig,0,NotSig
d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Cellvibrionales,f__Spongiibacteraceae,g__Dasania,4.0999104783251745,Tank,0,NotSig,0,NotSig
d__Bacteria,p__Campilobacterota,c__Campylobacteria,o__Campylobacterales,f__Sulfurimonadaceae,g__Sulfurimonas,3.904460111596713,Wild,0,NotSig,2.8443996048012328,Tank
d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Pseudoalteromonadaceae,g__Algicola,3.8808542457919093,Tank,3.4336872649344543,Tank,0,NotSig
d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Propionibacteriales,f__Propionibacteriaceae,g__Cutibacterium,3.8023712698215326,Wild,4.079531862009996,Tank,0,NotSig
d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Rubritaleaceae,g__Persicirhabdus,3.794904115923028,Tank,0,NotSig,0,NotSig
d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Cognatishimia,3.7469325315655446,Tank,0,NotSig,0,NotSig
d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Cellvibrionales,f__Spongiibacteraceae,g__BD1-7_clade,3.660694224779096,Tank,0,NotSig,0,NotSig
d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Tropicibacter,3.6425985384408954,Tank,0,NotSig,0,NotSig
d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Psychrobacter,3.638721790451896,Wild,0,NotSig,0,NotSig
d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Rhodobacteraceae,3.6137949594210235,Tank,3.8813091582589823,Tank,0,NotSig
d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Shimia,3.6037255393441643,Tank,0,NotSig,0,NotSig
d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Mesoflavibacter,3.603457556439459,Tank,0,NotSig,0,NotSig
d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Cellvibrionales,f__Porticoccaceae,g__C1-B045,3.5548990499847606,Tank,0,NotSig,0,NotSig
d__Bacteria,p__Bdellovibrionota,c__Bdellovibrionia,o__Bacteriovoracales,f__Bacteriovoracaceae,g__Peredibacter,3.4794828296891938,Wild,0,NotSig,0,NotSig
d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Woeseiaceae,g__Woeseia,3.4040681926326686,Wild,0,NotSig,3.1547381439471067,Tank
d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__Oligoflexales,f__Oligoflexales,g__Pseudobacteriovorax,3.395177973857673,Tank,0,NotSig,0,NotSig
d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Cellvibrionales,f__Cellvibrionaceae,g__Pseudoteredinibacter,3.3886476675245056,Tank,0,NotSig,0,NotSig
d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Thiotrichales,f__Thiotrichaceae,f__Thiotrichaceae,3.3552589472121754,Wild,0,NotSig,0,NotSig
d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Cellvibrionales,f__Halieaceae,g__Halioglobus,3.2670445622227358,Wild,0,NotSig,0,NotSig
d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Alteromonadaceae,g__Aestuariibacter,3.224114033623301,Tank,0,NotSig,0,NotSig
d__Bacteria,p__Chloroflexi,c__Anaerolineae,o__Ardenticatenales,o__Ardenticatenales,o__Ardenticatenales,3.172297859490337,Wild,0,NotSig,0,NotSig
d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Defluviicoccales,o__Defluviicoccales,o__Defluviicoccales,3.159961451814865,Wild,0,NotSig,0,NotSig
d__Bacteria,p__Planctomycetota,c__028H05-P-BN-P5,o__028H05-P-BN-P5,f__028H05-P-BN-P5,g__028H05-P-BN-P5,3.1523862248879158,Tank,0,NotSig,0,NotSig
d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Cellvibrionales,f__Halieaceae,g__OM60(NOR5)_clade,3.076731899777963,Wild,0,NotSig,0,NotSig
