#OTU,L01A,L01B,L01C,L02A,L02B,L02C,L03A,L03B,L03C,L04A,L04B,L04C,L05A,L05B,L05C,L06A,L06B,L06C,L07A,L07B,L07C,L08A,L08B,L08C,L09A,L09B,L09C,L10A,L10B,L10C,L11A,L11B,L11C,L12A,L12B,L12C,L13A,L13B,L13C,LW0A,LW0B,LW0C,LW1A,LW1B,LW1C,LWFA,LWFB,LWFC,S01A,S01B,S01C,S02A,S02B,S02C,S03A,S03B,S03C,S04A,S04B,S04C,S05A,S05B,S05C,S06A,S06B,S06C,S07A,S07B,S07C,S08A,S08B,S08C,S09A,S09B,S09C,S10A,S10B,S10C,S11A,S11B,S11C,S12A,S12B,S12C,S13A,S13B,S13C,SW0A,SW0B,SW0C,SW1A,SW1B,SW1C,SWFA,SWFB,SWFC
His,0,2.664275037,2.565242165,5.867826087,2.298666667,2.394444444,4.384350548,2.779012346,2.820987654,1.879012346,0,4.611111111,0,2.917209302,0,1.417304965,1.573333333,2.234817814,10.56790123,3.674074074,9.794033722,2.617366947,0,1.631111111,2.603733333,1.934177215,4.148292683,3.479820628,5.078624813,6.04245142,4.447234679,2.818535127,0,2.370104634,2.732436472,1.562929746,3.967713004,2.303139013,0,2.853213752,3.073243647,3.201195815,3.179671151,0,2.264872945,9.568908819,5.484005979,2.820926756,2.250666667,4.075516224,8.200281294,4.329411765,3.317857143,6.902564103,6.072274143,2.463768116,1.647536232,9.821449275,5.548258706,4.026046512,1.167179487,2.447953216,3.23974359,0,2.493492696,2.45203252,8.774492754,3.226666667,2.219047619,3.301925926,6.429239766,3.589565217,6.139055794,3.621122112,2.446376812,1.658566978,1.719626168,3.375700935,5.117757009,3.415576324,6.367601246,10.06479751,0,4.540809969,9.015576324,3.700934579,1.607476636,4.897196262,9.004361371,5.528971963,2.952024922,4.039875389,2.323987539,3.435514019,13.1788162,2.034890966
Asn,0,0,4.113960114,4.20173913,4.068266667,3.79,0,2.577777778,0,0,0,4.222222222,1.77865353,3.377364341,0,1.898439716,0,4.159784076,4.167901235,3.177777778,10.48923476,2.578151261,0,1.67,2.350933333,1.963431786,5.848455285,0,2.457399103,0,3.614947683,0,0,2.889088191,0,0,0,0,3.806278027,0,3.110313901,0,0,0,0,0,0,0,0,0,0,0,0,0,3.442990654,0,0,2.889275362,0,0,0,0,1.744871795,0,0,0,4.374492754,0,1.411640212,0,0,1.383188406,1.936480687,0,0,0,0,1.390654206,0,0,0,0,0,0,3.191277259,0,0,1.78317757,3.769470405,0,0,2.523364486,0,2.795015576,0,3.501557632
Tau,438.4340675,477.1455904,359.5692308,377.6428986,351.2608,242.3922222,425.6237872,370.2333333,210.3111111,234.4567901,186.820202,217.3382716,227.3142857,328.248062,251.9272727,249.2414184,203.1957333,195.168691,511.0395062,428.8209877,442.1509728,304.1165266,284.9471646,242.6033333,278.2794667,247.9144866,236.7037398,320.9901345,386.3772795,330.7695067,364.8633782,321.9910314,285.9300448,359.3566517,441.0881913,290.090284,262.9189836,389.8224215,408.3384155,493.4565022,469.3321375,258.3509716,412.5010463,326.0484305,437.7219731,372.4412556,395.5073244,583.1258595,20.52503704,33.11032448,35.66469761,43.24481793,21.03095238,37.42792023,60.39626168,7.697391304,41.30318841,91.15942029,37.11310116,26.61705426,4.353846154,13.17660819,17.24871795,6.353363229,3.697211155,14.27121951,120.5947826,18.28521739,9.738624339,43.1597037,15.97660819,12.18666667,128.8057225,5.605280528,13.38181818,7.575077882,20.04859813,22.01619938,18.9894081,31.74080997,57.86292835,60.1694704,9.558878505,44.79750779,85.22866044,20.46728972,11.69968847,121.7420561,138.9943925,101.0766355,33.21121495,90.62429907,59.83925234,70.95327103,30.11214953,114.0934579
Ser,5.358002937,0,2.52991453,3.022608696,2.625066667,2.455555556,0,3.856790123,2.102469136,2.965432099,2.019047619,2.598765432,0,2.845271318,0,1.855319149,0,1.818083671,3.87654321,2.685185185,3.248767834,2.116526611,1.7604426,1.696666667,1.7376,2.204219409,3.87902439,0,2.480119581,2.932137519,0,1.759043348,0,3.783557549,2.763527653,0,0,3.707025411,4.908819133,2.449028401,4.695964126,0,2.684603886,2.124962631,2.867563528,2.371300448,4.692376682,0,0,2.387020649,2.689170183,2.26442577,0,3.75954416,4.160747664,1.311304348,1.873623188,5.535072464,2.917412935,0,0,1.621052632,2.452564103,0,0,1.83804878,4.473043478,2.422028986,2.160846561,1.703111111,2.078362573,2.662028986,4.304434907,3.906270627,1.333333333,0,4.147040498,3.120249221,2.426168224,2.788785047,2.034890966,3.231152648,0,2.508411215,4.882242991,2.908411215,3.329595016,7.742056075,9.305919003,5.6,4.082242991,6.61682243,3.766978193,5.466666667,0,6.447352025
Gln,25.74684288,19.07443946,45.37663818,28.66550725,19.74613333,26.44222222,29.60250391,21,15.9654321,13.01975309,12.8958153,25.02469136,16.81707718,28.09302326,14.73684211,18.83347518,18.01493333,13.57192982,43.80617284,27.4654321,34.42386511,22.47507003,10.18091286,14.38777778,21.2864,11.77158931,19.76455285,17.01165919,18.98116592,25.25799701,14.84245142,16.53811659,6.501644245,20.07414051,17.94678625,5.183856502,16.42690583,5.834379671,23.0122571,25.73632287,27.15575486,9.236472347,23.60059791,11.65799701,18.31270553,20.42929746,17.79491779,32.46756353,4.683851852,11.20353982,9.557243319,8.370868347,9.719047619,8.525356125,12.93582555,4.664347826,2.977391304,12.25971014,15.08192371,10.66542636,1.692307692,7.735672515,15.71410256,2.747982063,1.597875166,8.054634146,21.21507246,9.788985507,13.45185185,3.516444444,2.776608187,9.496811594,12.64206009,3.353135314,5.400790514,1.35576324,6.205607477,11.80062305,4.175700935,5.602492212,5.465420561,10.22554517,2.137071651,4.412461059,24.28660436,2.630529595,5.196261682,19.31339564,28.19688474,11.80186916,12.85981308,24.41121495,5.906542056,11.88411215,12.0623053,25.27725857
Arg,0,0,0,0,0,0,3.972456964,2.77037037,0,1.241975309,1.311399711,1.490123457,1.379310345,5.838139535,0,0,0,1.818083671,0,0,0,0,0,0,2.4032,1.269198312,0,0,0,0,0,0,0,0,0,0,0,0,0,1.857100149,0,0,0,0,0,0,6.549476831,0,2.043259259,0,6.773558368,3.905882353,0,0,9.344548287,0,1.6,10.75594203,0,4.853333333,0,0,0,0,0,0,0,0,0,2.952296296,0,0,0,0,0,1.330841121,0,0,0,0,0,5.647352025,0,0,14.15077882,0,1.659813084,2.361370717,1.547663551,0,0,0,1.734579439,2.209345794,0,0
Gly,17.69045521,2.917787743,4.276923077,3.210434783,5.777066667,3.35,6.923317684,3.979012346,2.948148148,4.333333333,2.85021645,4.27654321,1.748440066,4.178604651,2.179266348,1.857588652,2.328533333,3.995681511,6.161728395,4.341975309,5.687159533,3.596638655,3.469986169,3.778888889,3.1904,2.868073136,3.944065041,3.738116592,4.351569507,3.89715994,4.260687593,3.470254111,3.033781764,4.257100149,5.747085202,2.67264574,3.803886398,4.253512706,3.942600897,3.032585949,4.575186846,2.394020927,2.932137519,3.397309417,4.626606876,3.376980568,9.32735426,4.559641256,2.991407407,4.921533923,3.526300985,5.096918768,3.304761905,7.033618234,13.60996885,2.834782609,1.913043478,12.58434783,20.94063018,4.054573643,0.82974359,3.276023392,3.585897436,0,1.17184595,2.721300813,7.416811594,3.858550725,2.695238095,2.332444444,3.278362573,3.56057971,6.532761087,2.646864686,2.363109354,1.563862928,6.34517134,5.436760125,3.900311526,5.707165109,7.948909657,5.892834891,1.759501558,6.64423676,9.845482866,4.608099688,3.914018692,7.936448598,9.803115265,6.462305296,3.25482866,6.95576324,8.618068536,4.387538941,6.603115265,7.712149533
Asp,3.736857562,4.218834081,4.582336182,3.47826087,3.438933333,4.74,4.353051643,3.564197531,3.043209877,4.017283951,3.949206349,3.840740741,3.704433498,4.31255814,2.294098884,3.364539007,5.28,3.462348178,5.265432099,3.855555556,4.251102464,3.08907563,3.558506224,3.256666667,3.236266667,2.895077356,3.45495935,2.805381166,2.637967115,5.810463378,4.606278027,3.221524664,3.546786248,3.898355755,4.801195815,2.254110613,2.635575486,4.071748879,3.347085202,4.353961136,3.556352765,2.843647235,6.102242152,3.952167414,4.165022422,2.880717489,4.436472347,6.429895366,1.936592593,2.407079646,2.864697609,4.38767507,1.536904762,3.946438746,6.629283489,1.595362319,2.112463768,9.296231884,8.551907131,3.335193798,0,0,3.294871795,0,0,2.085203252,4.110144928,1.713623188,1.068783069,4.54637037,0,2.651594203,4.500143062,0,2.172332016,0,0,3.910280374,1.634890966,7.876635514,8.023676012,7.902803738,0,6.200623053,8.876012461,0,1.283489097,9.825545171,10.58442368,8.041121495,1.297196262,7.064174455,3.93271028,5.036760125,5.515264798,6.686604361
Glu,4.919823789,5.136023916,5.050712251,2.84173913,2.618666667,2.952222222,4.122691706,5.743209877,2.680246914,2.081481481,1.37027417,5.166666667,3.288013136,4.385736434,3.876236045,2.637163121,3.246933333,3.546558704,7.387654321,4.598765432,6.199740597,3.652661064,3.038450899,4.111111111,4.193066667,3.438537271,3.873821138,17.03796712,11.0696562,10.23139013,13.22690583,8.590732436,12.55127055,12.11599402,13.24125561,12.30493274,12.52496263,14.28759342,13.47204783,15.25500747,15.54917788,13.87982063,2.136920777,1.962331839,4.046636771,2.309118087,2.954857997,3.032585949,8.333037037,1.687315634,2.749929677,2.401120448,1.798809524,4.082051282,4.355140187,1.126956522,1.935072464,3.953623188,4.090215589,1.807131783,4.48,1.407017544,3.175641026,8.454409567,5.002921647,2.346666667,5.682318841,2.459130435,3.073015873,2.021925926,1.446783626,2.204057971,5.500429185,7.104950495,1.624242424,4.702803738,10.38380062,6.645482866,10.49345794,9.024299065,8.512149533,16.36884735,9.54517134,12.23426791,14.68161994,9.335825545,8.638006231,5.987538941,11.02180685,4.201869159,2.945794393,4.371339564,2.179439252,3.107788162,3.78317757,6.741433022
Thr,4.142143906,4.444843049,2.083190883,12.48811594,1.626666667,1.457777778,2.542723005,1.580246914,1.261728395,1.255555556,1.221356421,1.722222222,7.348440066,2.151937984,3.823923445,0.935035461,0.888533333,1.076383266,2.960493827,10.53333333,1.681971466,10.18039216,5.235961272,1.201111111,8.983466667,4.876511955,1.611707317,0,0,1.891778774,0,0,0,1.998206278,0,0,0,0,0,0,1.781763827,0,14.645142,11.44633782,7.256203288,11.11629297,8.915994021,0,0,0,1.263572433,1.808403361,0,0,2.469781931,0.606376812,0,2.027826087,1.943615257,0,0,0,1.319230769,0,0,0,0,1.329855072,0,1.69837037,0,0.861449275,1.640057225,0,1.117259552,0,0,1.541433022,0,0,0,1.525233645,0,0,3.276012461,0,0,1.824299065,1.491588785,1.474143302,1.087850467,1.313395639,1.724610592,1.47165109,0,2.40623053
