#OTU_ID,Total.lipid,Class,Lipid
10-oxo-docosanoic acid,Lipid,FA,10-oxo-docosanoic acid
10-oxo-docosanoic acid,Lipid,FA,10-oxo-docosanoic acid
"11,14-eicosadienoic acid",Lipid,FA,"11,14-eicosadienoic acid"
"11(Z),14(Z)-Eicosadienoic acid",Lipid,FA,"11(Z),14(Z)-Eicosadienoic acid"
"11(Z),14(Z)-Eicosadienoic Acid",Lipid,FA,"11(Z),14(Z)-Eicosadienoic Acid"
"12-hydroxy-5Z,8Z,10Z,14Z-Eicosatetraenoic acid",Lipid,FA,"12-hydroxy-5Z,8Z,10Z,14Z-Eicosatetraenoic acid"
"12-hydroxy-5Z,8Z,10Z,14Z-Eicosatetraenoic acid",Lipid,FA,"12-hydroxy-5Z,8Z,10Z,14Z-Eicosatetraenoic acid"
"13,14-dihydroxy-docosanoic acid",Lipid,FA,"13,14-dihydroxy-docosanoic acid"
"13,14-dihydroxy-docosanoic acid",Lipid,FA,"13,14-dihydroxy-docosanoic acid"
"15-oxo-11Z,13E-eicosadienoic acid",Lipid,FA,"15-oxo-11Z,13E-eicosadienoic acid"
"16:4(4Z,7Z,10Z,13Z)",Lipid,FA,"16:4(4Z,7Z,10Z,13Z)"
"16:4(4Z,7Z,10Z,13Z)",Lipid,FA,"16:4(4Z,7Z,10Z,13Z)"
"16:4(4Z,7Z,10Z,13Z)",Lipid,FA,"16:4(4Z,7Z,10Z,13Z)"
"16:4(4Z,7Z,10Z,13Z)",Lipid,FA,"16:4(4Z,7Z,10Z,13Z)"
"26:6(8Z,11Z,14Z,17Z,20Z,23Z)",Lipid,FA,"26:6(8Z,11Z,14Z,17Z,20Z,23Z)"
"27:3(5Z,9Z,20Z)",Lipid,FA,"27:3(5Z,9Z,20Z)"
"28:3(5Z,9Z,21Z)",Lipid,FA,"28:3(5Z,9Z,21Z)"
"28:4(13Z,16Z,19Z,22Z)",Lipid,FA,"28:4(13Z,16Z,19Z,22Z)"
"28:5(13Z,16Z,19Z,22Z,25Z)",Lipid,FA,"28:5(13Z,16Z,19Z,22Z,25Z)"
"28:5(13Z,16Z,19Z,22Z,25Z)",Lipid,FA,"28:5(13Z,16Z,19Z,22Z,25Z)"
"28:5(13Z,16Z,19Z,22Z,25Z)",Lipid,FA,"28:5(13Z,16Z,19Z,22Z,25Z)"
"28:5(13Z,16Z,19Z,22Z,25Z)",Lipid,FA,"28:5(13Z,16Z,19Z,22Z,25Z)"
"28:6(10Z,13Z,16Z,19Z,22Z,25Z)",Lipid,FA,"28:6(10Z,13Z,16Z,19Z,22Z,25Z)"
28:7(n-6),Lipid,FA,28:7(n-6)
"3,6,9,12,15-octadecapentaenoic acid",Lipid,FA,"3,6,9,12,15-octadecapentaenoic acid"
"30:3(5Z,9Z,23Z)",Lipid,FA,"30:3(5Z,9Z,23Z)"
"30:4(15Z,18Z,21Z,24Z)",Lipid,FA,"30:4(15Z,18Z,21Z,24Z)"
"30:5(15Z,18Z,21Z,24Z,27Z)",Lipid,FA,"30:5(15Z,18Z,21Z,24Z,27Z)"
"30:6(12Z,15Z,18Z,21Z,24Z,27Z)",Lipid,FA,"30:6(12Z,15Z,18Z,21Z,24Z,27Z)"
"32:4(17Z,20Z,23Z,26Z)",Lipid,FA,"32:4(17Z,20Z,23Z,26Z)"
"32:4(17Z,20Z,23Z,26Z)",Lipid,FA,"32:4(17Z,20Z,23Z,26Z)"
"32:4(17Z,20Z,23Z,26Z)",Lipid,FA,"32:4(17Z,20Z,23Z,26Z)"
"32:4(17Z,20Z,23Z,26Z)",Lipid,FA,"32:4(17Z,20Z,23Z,26Z)"
"32:5(17Z,20Z,23Z,26Z,29Z)",Lipid,FA,"32:5(17Z,20Z,23Z,26Z,29Z)"
"32:6(14Z,17Z,20Z,23Z,26Z,29Z)",Lipid,FA,"32:6(14Z,17Z,20Z,23Z,26Z,29Z)"
"34:4(19Z,22Z,25Z,28Z)",Lipid,FA,"34:4(19Z,22Z,25Z,28Z)"
"34:4(19Z,22Z,25Z,28Z)",Lipid,FA,"34:4(19Z,22Z,25Z,28Z)"
"34:4(19Z,22Z,25Z,28Z)",Lipid,FA,"34:4(19Z,22Z,25Z,28Z)"
"34:4(19Z,22Z,25Z,28Z)",Lipid,FA,"34:4(19Z,22Z,25Z,28Z)"
"34:4(19Z,22Z,25Z,28Z)",Lipid,FA,"34:4(19Z,22Z,25Z,28Z)"
"34:4(19Z,22Z,25Z,28Z)",Lipid,FA,"34:4(19Z,22Z,25Z,28Z)"
"34:5(19Z,22Z,25Z,28Z,31Z)",Lipid,FA,"34:5(19Z,22Z,25Z,28Z,31Z)"
"34:6(16Z,19Z,22Z,25Z,28Z,31Z)",Lipid,FA,"34:6(16Z,19Z,22Z,25Z,28Z,31Z)"
"36:4(21Z,24Z,27Z,30Z)",Lipid,FA,"36:4(21Z,24Z,27Z,30Z)"
"36:4(21Z,24Z,27Z,30Z)",Lipid,FA,"36:4(21Z,24Z,27Z,30Z)"
"36:4(21Z,24Z,27Z,30Z)",Lipid,FA,"36:4(21Z,24Z,27Z,30Z)"
"36:4(21Z,24Z,27Z,30Z)",Lipid,FA,"36:4(21Z,24Z,27Z,30Z)"
"36:5(21Z,24Z,27Z,30Z,33Z)",Lipid,FA,"36:5(21Z,24Z,27Z,30Z,33Z)"
"36:5(21Z,24Z,27Z,30Z,33Z)",Lipid,FA,"36:5(21Z,24Z,27Z,30Z,33Z)"
"36:6(18Z,21Z,24Z,27Z,30Z,33Z)",Lipid,FA,"36:6(18Z,21Z,24Z,27Z,30Z,33Z)"
"36:6(18Z,21Z,24Z,27Z,30Z,33Z)",Lipid,FA,"36:6(18Z,21Z,24Z,27Z,30Z,33Z)"
"36:6(18Z,21Z,24Z,27Z,30Z,33Z)",Lipid,FA,"36:6(18Z,21Z,24Z,27Z,30Z,33Z)"
"36:6(18Z,21Z,24Z,27Z,30Z,33Z)",Lipid,FA,"36:6(18Z,21Z,24Z,27Z,30Z,33Z)"
"36:6(5Z,9Z,12Z,15Z,18Z,21Z)(34Me[S])",Lipid,FA,"36:6(5Z,9Z,12Z,15Z,18Z,21Z)(34Me[S])"
