＃NAME,Name,Type,Time,Treatment,Colony,environment,environment2,Group,Type_wild,All_type
L1A,L1A,coral,1,Lobo,1,tank,tank,week1,wild,tank_1
L1B,L1B,coral,1,Lobo,2,tank,tank,week1,wild,tank_1
L1C,L1C,coral,1,Lobo,3,tank,tank,week1,wild,tank_1
L2A,L2A,coral,2,Lobo,1,tank,tank,week2,tank,tank_2
L2B,L2B,coral,2,Lobo,2,tank,tank,week2,tank,tank_2
L2C,L2C,coral,2,Lobo,3,tank,tank,week2,tank,tank_2
L3A,L3A,coral,3,Lobo,1,tank,tank,week3,tank,tank_3
L3B,L3B,coral,3,Lobo,2,tank,tank,week3,tank,tank_3
L3C,L3C,coral,3,Lobo,3,tank,tank,week3,tank,tank_3
L4A,L4A,coral,4,Lobo,1,tank,tank,week4,tank,tank_4
L4B,L4B,coral,4,Lobo,2,tank,tank,week4,tank,tank_4
L4C,L4C,coral,4,Lobo,3,tank,tank,week4,tank,tank_4
L5A,L5A,coral,5,Lobo,1,tank,tank,week5,tank,tank_5
L5B,L5B,coral,5,Lobo,2,tank,tank,week5,tank,tank_5
L5C,L5C,coral,5,Lobo,3,tank,tank,week5,tank,tank_5
L6A,L6A,coral,6,Lobo,1,tank,tank,week6,wild,tank_6
L6B,L6B,coral,6,Lobo,2,tank,tank,week6,wild,tank_6
L6C,L6C,coral,6,Lobo,3,tank,tank,week6,wild,tank_6
L7A,L7A,coral,7,Lobo,1,tank,tank,week7,tank,tank_7
L7B,L7B,coral,7,Lobo,2,tank,tank,week7,tank,tank_7
L7C,L7C,coral,7,Lobo,3,tank,tank,week7,tank,tank_7
L8A,L8A,coral,8,Lobo,1,tank,tank,week8,tank,tank_8
L8B,L8B,coral,8,Lobo,2,tank,tank,week8,tank,tank_8
L8C,L8C,coral,8,Lobo,3,tank,tank,week8,tank,tank_8
L9A,L9A,coral,9,Lobo,1,tank,tank,week9,tank,tank_9
L9B,L9B,coral,9,Lobo,2,tank,tank,week9,tank,tank_9
L9C,L9C,coral,9,Lobo,3,tank,tank,week9,tank,tank_9
L10A,L10A,coral,10,Lobo,1,tank,tank,yweek10,wild,tank_10
L10B,L10B,coral,10,Lobo,2,tank,tank,yweek10,wild,tank_10
L10C,L10C,coral,10,Lobo,3,tank,tank,yweek10,wild,tank_10
