"","wild0","tank1","tank2","tank3","tank4","tank5","wild6","tank6","tank7","tank8","tank9","tank10","tank11","tank12","wild19","tank19"
"His",0.221853792313404,-0.749014494939213,0.501539036360405,0.392753346018967,-0.392164948817842,-1.5749176974865,-0.684433939201353,-0.750250361990738,2.22908837483144,-1.06683398828378,0.129015350908685,1.15441608304897,-0.195459362343686,-0.346325210303105,1.58142818951006,-0.450694169625725
"Asn",-0.319419811980791,-0.0195646479615913,1.45916416001203,-0.499212924538983,0.0102148941689995,0.2499582775412,-1.72200684314472,0.456821219334026,2.09914742517911,0.0172808992011488,1.19368434344845,-0.542231327636521,-0.162959492801684,-0.39212945311135,-1.72200684314472,-0.106739874564588
"Tau",0.876143693826722,1.05546243850257,-0.0719737774980995,0.074085239500074,-1.80693191596662,-0.836505837863208,0.721052218816299,-1.74913760541732,1.38895705599841,-0.71442122501815,-1.07154294783946,0.203614764109585,-0.0656331321398765,0.407553513497037,1.29513204094995,0.294145476542114
"Ser",0.37136782707812,0.635762805273653,0.709022321687274,-0.0936209695117382,0.529585059673509,-1.69126588327292,0.562626162773873,-1.1955845235013,1.2441040854474,-0.25821219613091,0.612645068687777,-0.329300478579504,-2.46038070022462,0.144118419531523,0.341261046281976,0.877871954785894
"Gln",0.209047354167421,1.59072202801411,0.89714459235545,0.463283513327776,-0.517664386264712,0.0592674648936523,-0.334046371303717,-0.555007415130446,2.18379682184985,-0.806748833299026,-0.385417476188695,0.156733717435049,-1.58634639989356,-1.1144755554069,0.685313366625771,-0.945602421182054
"Arg",0.19439787316044,-0.779053689433136,-0.779053689433136,1.60072514759934,0.945278586793673,1.69682324943541,-0.779053689433136,0.17810332454755,-0.779053689433136,-0.779053689433136,0.835927252190283,-0.779053689433136,-0.779053689433136,-0.779053689433136,1.56022777117152,-0.779053689433136
"Gly",-0.677054972715177,2.65385710431043,0.044185480833403,0.454883888350784,-0.212978720638849,-1.3649440157844,-0.367863592039089,-1.33537096855506,1.02264057177128,-0.402578593767227,-0.676805020443865,-0.0567799668463807,-0.428126444140006,0.139715755275315,1.26016953722165,-0.0529500428328033
"Asp",-0.55086846621752,0.758841579740019,0.132149875345177,-0.390841576140805,0.241514971062932,-0.90233325683933,1.86220554839954,0.456662599135298,1.32033421493168,-1.23566772756355,-1.50356638770588,-0.167529695226373,-0.0769218525576511,-0.396071073385093,1.56352083328721,-1.11142958626568
"Glu",1.59197591356324,-0.140124436760982,-0.965735939988776,-0.412842064410018,-0.933768009773235,-0.531299324045184,-1.00803970021438,-0.812894620443914,0.140843827063164,-0.625675179341274,-0.53678597234,1.33655927903545,1.15595185425607,1.30702996661152,-0.984020750598464,1.41882515738679
"Thr",-0.933648422110887,0.41332418585236,0.806319202233875,-0.213491137326346,-0.408979904137359,0.640859217615927,1.66733608829004,-0.664185539908281,0.77862812737565,0.876507708565844,0.799335390061481,-0.90447979771251,-1.53146882775295,-0.876879988205187,1.0822925249113,-1.53146882775295
"Ala",-0.420101848038838,-0.123185498071716,-0.221947712839411,-0.375231109543281,-0.498468293072319,-0.460825787402152,-0.126842622404935,-0.724338980295723,-0.191512290810319,-0.589676735998701,-0.403502457249117,-0.282537389295917,2.55131840955237,2.45480367219029,0.0812084284779467,-0.669159785198173
