"","wild0","tank1","tank2","tank3","tank4","tank5","wild6","tank6","tank7","tank8","tank9","tank10","tank11","tank12","wild19","tank19"
"g__Candidatus_Hepatoplasma",0.404331934681227,0.307851765138776,0.463224641846278,-0.953361590782883,0.0373465732504869,0.258277619356988,0.774647332616495,0.427316058606809,0.29292291603042,0.201285013147168,-0.713642508152736,-0.555661127523889,-0.197603106092649,0.600092056636002,0.50898433340275,-1.85601191216124
"f__Spirochaetaceae",-0.342383607109412,-0.752885923606061,0.341170445677834,-0.752177447177832,-0.771195914787592,0.846438732926331,0.903900136261183,-0.507404611336831,0.136927643418868,0.780196446416312,-0.303833567204786,0.691190476180454,0.374024883510026,0.775884723024446,-0.491014030370845,-0.928838385822099
"g__Rubritalea",-0.296935414041265,0.429166890723121,0.427722811105141,0.540855478190326,-0.169050544867957,-1.02103694436188,-0.778530220903321,0.0190942186764003,-0.438640567212016,0.446245327001578,0.292242798144699,-0.874628184564743,-0.298476847871186,-0.385503327691326,1.07222148947453,1.03525303819788
"g__Bacteroidetes_VC2.1_Bac22",-0.196095671812264,0.516844862185009,0.527934524942209,-0.00953353782500085,0.805165161922959,1.14372438621536,-1.11377745247997,0.744196690170036,0.0862076319885057,0.0285966913565341,-0.46462099254102,0.346866142748716,0.0882504004750256,0.00889200691354193,-1.22429749818179,-1.28835334607784
"g__Cutibacterium",-0.119457190658759,-0.452821016641678,-1.63073583371424,-0.466829431274579,-0.835881517174995,-0.0704859778646034,-0.130692863777998,0.114334482429771,-0.82678604114746,0.163471369448532,0.580005502210244,0.052518562984241,0.533001169521683,0.741003868375898,1.0272901397961,1.32206477748784
"g__Acinetobacter",-0.717017084077708,-0.717017084077708,-0.493594337898991,0.64266794973781,0.330656560023976,-0.397371398579436,-0.493594337898991,-0.717017084077708,-0.095471587398756,0.748322920310783,-0.123328765057719,-0.0107551426355047,0.866831731612357,0.0494740937779973,-0.35066220244455,1.47787576868415
"g__Polaribacter",-0.872493060328793,-0.200140217415382,-0.424622094890683,-0.583161691899066,-0.0328032293625948,-0.781219175836863,-0.872493060328793,0.068803827310626,0.0467684320160218,0.925967084448788,0.427984165310289,-0.454005722638139,0.218712392022722,0.15414897630686,1.43869970506926,0.939853670215749
"g__Marinobacter",-0.931023324490634,-0.484319732884298,-0.097005096384858,-0.0886297878819325,0.451242265604,-0.55910714849574,-0.931023324490634,0.130123697452155,-0.0464802788445312,0.515719879128577,0.480047032687251,-0.579043852586088,0.39237380071196,0.702388321818279,0.697599062617779,0.347138486038715
"g__Lactobacillus",-0.078506080224274,-0.145321790598412,-0.400480410207635,-0.400480410207635,-0.400480410207635,-0.400480410207635,-0.400480410207635,0.134307376094495,0.0514676998198587,-0.400480410207635,0.195242889238512,0.0514676998198587,0.750537108968857,-0.400480410207635,-0.400480410207635,2.24464837854218
"g__Rhodobacteraceae",-1.34119183633027,0.0498257557659859,0.324881646725402,-0.797685443314705,0.406091080469593,-0.338775838401546,-0.950658587033461,0.115736055367232,0.627166656405183,0.558569058259314,0.607816504869995,0.15332938199437,0.332543486752657,0.0803572811222327,0.687764434321121,-0.515769636973104
