"","wild0","tank1","tank2","tank3","tank4","tank5","wild6","tank6","tank7","tank8","tank9","tank10","tank11","tank12","wild19","tank19"
"His",1.22826377204323,0.4269033153931,0.431231369095515,-0.497981973857131,1.22322406611393,-1.4432191495953,-0.719123829988911,-2.14273795608722,0.36964300549558,0.195386899398662,-0.0342901566266217,-1.47667466932244,0.495572805025526,0.441537904032443,1.11310466750818,0.389159931371483
"Asn",1.3897094787402,-1.19324510565709,-1.19324510565709,0.691354169727321,0.469802447182826,-0.0629199523414158,0.311649429118875,-1.19324510565709,1.45611528592519,-0.258406511355423,0.0346858735351507,-0.254210602794447,-1.19324510565709,-1.19324510565709,1.59534639129924,0.593099519247939
"Tau",1.86431931355693,-0.249370142334887,-0.0554485817815926,0.0535955058987887,0.576288913319023,-1.62321539281267,0.833855221395873,-2.12162921968432,0.513958846325486,-0.582531544970277,0.505559291734348,-1.11304733652314,0.0425587511555088,0.122223464999197,1.07355609144034,0.159326818281399
"Ser",2.24578325253903,-0.769121312487289,-0.47960755629252,-0.122987853266212,0.142194068519905,-1.11495040596651,1.24336005850594,-2.10603565043353,0.276167515883136,-0.361044307920656,0.379721323398613,-0.142831168166532,-0.147268106075616,-0.563160849280363,0.83123798870178,0.688543002340816
"Gln",1.78523411349862,-0.0859772983125791,0.0102575939071926,-0.533771664488,0.786839867930475,-0.11149360066794,1.07019503058404,-1.55002391229865,1.13535334839256,-1.07537529792518,-0.452349072931985,-0.660077269996294,-1.14577269729547,-0.953431420328529,1.36379116611886,0.416601113812901
"Arg",0.188986604150203,1.00359483436393,0.188294010683046,1.25489362583707,1.6928951293023,-1.07721102731345,-0.384656175247083,-1.07721102731345,-1.07721102731345,-0.0372496881557315,-1.07721102731345,-0.51994176832176,-1.07721102731345,0.529622228056174,-0.239610574924688,1.70922691082381
"Gly",1.08855278725331,-0.486691715176143,0.120979275594734,0.486972172250665,2.083386580291,-1.23406390817248,0.54121099991347,-2.32579502292763,-0.0849244993773843,-0.911662221722976,-0.468928245758061,-0.178224554704256,0.391848251708095,-0.0376028421841621,0.526829041172027,0.488113901839804
"Asp",1.82832902806267,-0.423736746470475,0.0401361890505955,0.11133158818124,1.30241206117841,-1.39137570704091,0.385359117959706,-1.81848248006926,-0.486633611367226,-0.425777826465102,-0.531661564254562,-1.20469206165452,0.975131329224052,0.609145438307003,0.946015479271661,0.084499766086704
"Glu",0.731797803639356,-0.203295204954006,-0.933852812916647,-1.10781383115634,-0.649822046535952,-0.787907827563093,-0.710821466958981,0.180485232233921,-0.429859356144657,-1.50757259918858,-0.010245162972901,0.778227644128727,1.27305259108995,1.88867903520786,-0.0871957195086559,1.57614372160001
"Thr",1.44411872493121,-0.63996734983302,-0.224152214257567,0.584976251746313,1.06023482604243,-0.595121255906829,1.13598601262966,-1.85533248602779,-0.586626558181185,0.277908030017439,0.39860206472151,-0.421664693800063,-1.85533248602779,-0.434020429107233,1.0135168019536,0.696874761099301
