"","wild0","tank1","tank2","tank3","tank4","tank5","wild6","tank6","tank7","tank8","tank9","tank10","tank11","tank12","wild19","tank19"
"g__Endozoicomonas",0.260194532708635,-0.102237436835038,0.475406825850397,-1.90372978149859,-0.610178246356623,-0.519046869077769,0.295077503850497,-0.25659434977461,-0.141864143473668,0.098668122139133,0.0288958372325348,0.878684919318416,0.897022301406081,0.252614983305981,0.927099402671875,-0.594560282543046
"g__Rubritalea",0.213358375702064,0.457088370292627,-0.281729005431772,0.373686609880512,-0.0909342994766271,0.69431287459603,-0.644304660787779,0.548377552562259,-0.067000559460664,-0.422652714992752,-0.259676244496702,-1.60226453983287,-0.84913505647851,0.220169853439516,0.535811990625831,1.31241941024694
"g__Cutibacterium",0.0537309272240997,-1.88450172933356,-0.29947230005691,-0.713078118694945,-0.842292168514709,0.265614466044687,-0.0333432246584736,0.665001168968621,0.703488582715163,0.66519819900513,-0.272480363211251,0.211819169408065,0.616407836282816,0.00686554672627471,0.433565044048785,0.412191019375475
"g__Acinetobacter",0.0547948352636003,-0.84123894112315,-0.371342402151768,-0.033898858481522,0.0147862682211359,-0.84123894112315,0.155046264217264,1.03084906309101,0.339217337912412,0.445410445563666,0.758132425312196,-0.349777542250796,-0.84123894112315,0.682905770920831,-0.233057483244121,-0.3735430820961
"g__Polaribacter",-0.160574309013472,-0.259318707908461,-0.320910690958125,0.780232181854991,-0.508406944859554,1.44283123923059,-0.518431290439255,0.38005702376531,-0.482402717753991,-0.829634693157336,-0.183527699937578,-0.7428266993065,-0.569210711604827,-0.656018705455663,1.14690451012056,1.85521173151414
"g__Marinobacter",-0.897882050718683,0.028819807979066,-0.0766386466208202,0.524482560891596,0.23115392800341,1.23098595226233,-0.852409397304287,0.636718036927463,-0.60331549222958,0.0814165108034441,-0.139489998075912,-0.862024173558704,-0.0872891049133126,-0.156188780669528,0.245442302859716,1.08100097957764
"g__Rhodobacteraceae",-0.677478974777343,0.853649476085519,-0.0475189824056449,0.527344967610648,0.338994475099269,1.36734864510598,-1.12982237935099,0.368859208694073,-0.13011326148655,-0.523382664248473,-0.813882675006852,-0.794965653607874,-0.765589308079466,-0.319797991665408,0.831667065153144,1.35463127378008
"f__Flavobacteriaceae",-0.132304723414651,0.213377330382729,0.31487769354722,0.65181025513939,-0.490530855032623,1.34278980211752,-0.785963683786253,0.290946870248839,-0.311577697701806,-0.766357199856766,-0.466291826816732,-1.08444042229404,0.00525644633003269,-0.700027863748702,0.825280764653568,1.64571094212052
"g__Mycoplasma",1.01849090752643,0.60634688475978,-0.978366793940504,-0.445591245445987,-0.327423944793633,-0.311465370239054,0.946222253385144,-0.862620020483038,0.749986361313612,-0.291735553356976,-0.206329606401465,-0.0152092990716022,0.141688884802516,0.449692406668005,0.133773077541501,-1.03740299699124
"f__Terasakiellaceae",1.06902038999615,-0.522042399960201,-0.553447786679683,-0.467484277989098,-0.333027356355434,0.438458821901733,1.00835429817464,0.487788534686928,0.926472227878981,0.401872678905865,-0.610834525032315,-0.238930378470465,0.485740555744151,0.533759657505635,-2.01132579093611,-0.652704304296763
"f__Rhodobacteraceae",-0.276058800097443,-0.318722670098576,-0.179218593889258,0.574716304373576,0.745553650033332,1.01504274243126,-0.494278775328166,0.459381997087234,-0.14953494696286,-0.454261386821303,-0.76015481622643,-0.419674256567416,-0.664117507109016,-0.223393303358954,0.102436390036273,1.32089202201174
"g__Vibrio",-0.131394800176842,0.524062805809216,0.999077788426162,0.944650599432854,-0.577231876946131,0.577094167517102,-0.602357215759946,0.325120490275584,0.150942666045406,0.373195063253204,-0.47978123133584,-0.260837201791391,-0.301921477909675,-0.00241167890566968,-1.10565264477343,0.0928351988204686
"g__Candidatus_Hepatoplasma",0.936423043560115,-1.0839532027463,-1.40549972235405,0.149272690419728,-0.957588159146944,-0.626090277872673,0.940861015269101,-0.0606007345391084,0.766772442471281,0.314512875623665,-0.094864665917895,0.213301295853352,0.672239695544605,0.301901271288525,0.198214651079041,-0.942098885274674
"f__Spirochaetaceae",0.951887577524795,-0.258574920063846,-0.982060873926696,-0.099849828070152,-1.11498511560756,-0.607776994472736,0.344185561096138,0.134319013966777,0.280549928596957,0.208858083889986,0.20007694823706,1.12144573778608,-0.0804325817518589,0.0818747918576446,-0.22459408175233,-0.484869203443401
"g__Comamonadaceae",0.30929119895286,-0.5969531387752,-0.5969531387752,-0.110539909281324,0.267557275398689,-0.150874407229527,0.217320873206617,0.902520013625119,0.249905705210085,0.199933702500786,0.743594428899161,-0.5969531387752,-0.5969531387752,0.703734102700493,-0.5969531387752,-0.5969531387752
"f__Methyloligellaceae",-0.542336415159325,0.387415737953155,-0.784688080938833,-0.282048527105207,-0.185191375375397,0.994127698841143,-0.806018234592459,0.556617770548,-0.600236356502062,0.57411957785679,-0.0288736456856366,-0.0901438613103129,-0.383579316762587,-0.115305389373755,0.342907434907813,1.03304618866611
"c__Bacilli",0.239292134418078,-1.92521016805365,-0.395350088279541,-0.661519602567296,-0.757880514578078,0.103407952897386,0.147052472183307,0.703828820401172,0.580662573516033,0.608974064498174,0.613544227734886,-0.327135784797152,0.516447842520993,0.358342639238717,0.0979176529185677,0.00031173282101582
"g__Tropicibacter",-0.0282255616114146,1.1561219037902,0.196344251410632,0.492490483911066,-0.306763616733837,1.17603782701071,-1.21738031712751,0.0596074373085218,-0.166469099411941,-0.290863627587079,-0.391597068622643,-0.36645617082927,-0.394113835971068,-0.318261787682766,0.118955458356411,0.738034416597101
"g__Cognatishimia",-1.00676220974798,1.1002297903012,0.434361996157763,0.61347165052945,0.136684817603021,1.052062886888,-0.404160293133624,-0.0298564235389479,-0.0940966252115872,-0.477639458319848,-0.419189003034527,-0.206671386558705,-0.809947614543481,-1.00676220974798,0.519921419589726,1.09382762378278
"g__Spirochaeta_2",-0.518976229409001,0.670593764708124,-0.458468041865839,-0.601982392124833,1.28244900558651,-0.957499764566776,-0.518976229409001,0.0474033015507803,-0.17016433274316,0.0339578656370002,-0.957499764566776,0.435225397899899,0.556191198302606,0.529379885661764,-0.130651689501906,0.287028756029742
