"","wild0","tank1","wild6","tank6","tank10","wild19","tank19"
"BMP",0.061562356338533,0.0091759490091696,0.0450989218524604,0.00954775274522364,0.0156801982202537,0.0346710867605353,0.00828282881361084
"CE",0.0637187761598976,0.106173483658877,0.115869233794863,0.07681941499243,0.112128726501959,0.12399477711564,0.0966024922578096
"CerP",0.241592184492755,0.0545291257854792,0.315790366908381,0.0775521694543285,0.12428196368859,0.23633119917026,0.0759714955830147
"DG",1.21451199173232,0.721309722286396,1.32875182601135,0.716170771837061,0.928728065851162,1.22753830689739,0.914839781766034
"DGCC",1.58537811475773,1.13956309169879,1.68711563993554,1.03515645418205,1.3131236403776,1.58674956276467,1.14053873414204
"LDGCC",0.76864425808199,0.155987736924009,0.809995851688264,0.165440848254387,0.225340103330827,0.579530357509984,0.265564922581923
"LDGTS",0.0337863606699069,0.0131841197839367,0.0367828223436091,0.0265269536578373,0.0382888158594943,0.0190557138117053,0.0257876811055886
"LPC",1.29041926840743,1.33976349457678,1.37573085470935,0.799649650616572,1.04047701252415,1.45493837003674,1.14906296586115
"NAGly",0.630408773566117,0.138829185720446,0.195643878383688,0.077479450830033,0.133765053014222,0.33467201845177,0.147507037720607
"NAOrn ",0.0910031401695354,0.180426018278694,0.0727258055061472,0.0632486741641012,0.0953728773386179,0.133151789716175,0.116924332924481
"PC",2.1746927454689,1.77992156709394,2.26157796487485,1.79188194270077,1.92846741726039,2.1130662965715,1.92006292566378
"SE",0.562757781522314,0.851631015689747,0.690539487032478,0.647412157779808,0.736351695711614,0.86165373754957,0.767351687229604
"SHexCer ",0.179836227340669,0.123828451284495,0.218211989950671,0.0955699845988712,0.156401988913889,0.250101418652021,0.142377331281188
"SM",0.686834535431531,0.513193217412193,0.843466595801964,0.473052228886546,0.62052755036113,0.787834583228455,0.570838223234622
"SPB",0.476958779239176,0.255892934767323,0.558222738624377,0.238652130233837,0.297439293565563,0.381465303262531,0.315693510452251
"TG",1.85785344151604,1.26304526489882,2.04099092375561,1.44304478920682,1.62136348470587,1.79094826001065,1.56632330079632
"WE",0.11245281470112,0.0776615245927305,0.23727253632449,0.057350387204077,0.0772914752171839,0.143343476657729,0.167716963108435
"DGMG",0.0648114652117393,0.0260530150892275,0.0967824348833357,0.0274027077842839,0.0554387826552374,0.0784178498238918,0.0468280993041409
"fa",0.00668234830114612,0.00266081544725528,0.0107696619282192,0.00338603027568215,0.0045536328575204,0.00887002559203118,0.00516337717280522
"Cer",0.0774483822515266,0.0353959703577911,0.153743378701985,0.0199120861492583,0.0448010309154303,0.142288286092006,0.0399791262039726
"MGMG",0.112877572637652,0.00936600353459046,0.166255490327311,0.0171595307824577,0.0275020050076616,0.0780391438717584,0.013938308683984
"PA",0.576812156677539,0.343509190067807,0.598951732699196,0.276858379913578,0.388841907741165,0.622446768950034,0.347434945088748
"PG",0.764829282164252,0.48842313048118,0.794554893426765,0.574692338431424,0.74678471992968,0.589228166605882,0.704537935554945
"PIM1",0.0429986648951918,0.018985476714448,0.037465708452841,0.00920566081111856,0.0210575921590829,0.0220986911620347,0.0190709587626991
"CER",1.20047293432646,0.814748053101885,1.31590879668174,0.749675302119233,0.942998862060645,1.25010110036407,0.861594067501764
"DGDG",0.887954786414684,0.539884130565017,1.15505928377553,0.355475052611338,0.570792622001241,1.06842566489478,0.477490621958759
"HexCer",1.18488169232284,1.14776763264949,1.29403470192197,0.985741688254071,1.12893751250903,1.18196312329784,1.12141932868069
"LPA",0.0481488232665525,0.006694019943245,0.0706096627263253,0.00245972421730859,0.0160109838083496,0.0407350580641854,0.00290552453969794
"LPE",1.21469082249814,0.48918298466057,1.30558385278763,0.575402458896946,0.786245433485852,1.36531219133227,0.618125430264404
"LPI",0.28282736077268,0.123370248642019,0.34855185240731,0.073385083355473,0.154396985529087,0.401232058071348,0.108675023668412
"MGDG",1.31604359593362,1.02449574546878,1.42152532214289,0.8725125519209,1.08088425377358,1.37514315611791,0.979536269404747
"NAGlySer",0.22852658430933,0.00417041162262506,0.246301315497602,0.00469069664629258,0.00594816099637531,0.191280756671421,0.0113858691754771
"PE",1.47730030942098,1.10347192038658,1.53481928120382,1.14861658367414,1.27561636759,1.47000504162861,1.18830045969486
"PI",1.06484516113451,0.747876012908706,1.13224632658443,0.750595025771636,0.871423979386781,1.03710901953933,0.804897873717557
"PS",1.18786495724621,0.868426498955435,1.16496551864292,0.892293216474692,0.941174583082199,1.13564875732621,0.929446695310656
"SL",0.879433020857934,0.25504369736103,0.797502324912487,0.320469405133693,0.410703561470755,0.995503116554938,0.288081229591925
"SQDG",0.59285068382795,0.36139350242353,0.871167563398262,0.261992851326458,0.449664805902618,0.596175983516719,0.301992883416741
"FA",1.78822524601262,1.28562971354998,2.04415654470063,1.03422211749283,1.22292049377471,2.02942573639159,1.27472980275516
"GlcCer",0.134090538304356,0.213998270398067,0.194307437050555,0.15883931171062,0.21613777913321,0.259096311559993,0.179311664039384
"LacCer",0.120603396724016,0.0750631174769125,0.147265765432787,0.0917020677157024,0.131128721778112,0.216430360863291,0.0933229342422892
"ST",1.48533693802934,0.387493869482103,1.30926892214479,0.442121604635086,0.527733851130084,1.48327415845832,0.4376133680243
"MG",0.1700485278795,0.028045744203071,0.20022752458655,0.034277221170048,0.06372992962709,0.165482487666734,0.0379092682962112
"SQMG",0.508117888497218,0.112326255976949,0.426131165654186,0.0328583551070889,0.0714851658499109,0.336234660980838,0.102182934042038
